cset: --> last message, executed args into cpuset "/user", new pid is: 3579655
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.960084;0.435295;0.647863
10500;0.967125;0.438411;0.650351
11025;0.955121;0.439322;0.65473
11576;0.969512;0.440899;0.655595
12154;0.966545;0.444302;0.665412
12760;0.976895;0.445884;0.684851
13396;0.978986;0.442693;0.6912
14063;0.995308;0.447796;0.693726
14763;1.01295;0.447388;0.693625
15498;1.01472;0.445738;0.694581
16269;1.01098;0.450888;0.702219
17078;0.994633;0.448057;0.713264
17927;1.00946;0.451811;0.718618
18818;1.02581;0.452471;0.720552
19753;1.02483;0.456775;0.727684
20734;1.02964;0.457567;0.733836
21764;1.03825;0.464455;0.737731
22845;1.05921;0.461694;0.745451
23980;1.06777;0.466971;0.7537
25171;1.07925;0.468121;0.764248
26421;1.08998;0.473105;0.772592
27733;1.09842;0.474408;0.785326
29110;1.1115;0.484444;0.791143
30555;1.1296;0.489038;0.805045
32072;1.12859;0.48864;0.804803
33664;1.15242;0.495747;0.816801
35335;1.15667;0.496773;0.817874
37089;1.16492;0.501417;0.830321
38930;1.175;0.509036;0.837834
40863;1.19174;0.510655;0.848397
42892;1.20093;0.517218;0.855653
45022;1.20328;0.523583;0.861967
47258;1.22505;0.526109;0.87044
49605;1.23135;0.512742;0.869254
52069;1.2422;0.517417;0.878441
54656;1.24809;0.518197;0.882715
57372;1.26279;0.524329;0.890946
60223;1.2606;0.526597;0.895867
63216;1.27711;0.528066;0.902917
66358;1.27038;0.529661;0.907436
69657;1.27182;0.534412;0.910647
73120;1.28932;0.536006;0.916647
76756;1.29237;0.541479;0.918503
80573;1.29099;0.544558;0.925893
84580;1.29868;0.545951;0.929194
88787;1.31761;0.549865;0.935528
93204;1.31861;0.555711;0.939258
97841;1.3247;0.559851;0.945012
102709;1.33484;0.557363;0.933704
107820;1.32726;0.557174;0.936578
113186;1.33597;0.561743;0.940491
118820;1.34394;0.565156;0.944335
124735;1.34209;0.564907;0.948723
130945;1.35146;0.568024;0.952963
137465;1.36773;0.567834;0.9557
144311;1.35726;0.575969;0.960779
151499;1.35544;0.580861;0.965154
159046;1.36644;0.581287;0.969337
166970;1.36992;0.587669;0.972975
175290;1.37155;0.589736;0.97657
184026;1.38422;0.615862;0.977022
193198;1.38088;0.594598;0.984923
202828;1.40048;0.589857;0.977179
212939;1.40066;0.584879;0.982866
223555;1.39966;0.589492;0.989877
234701;1.40461;0.599522;0.997302
246404;1.41403;0.602712;1.0058
258692;1.42873;0.60304;1.01237
271594;1.43658;0.609764;1.02184
285141;1.44805;0.613992;1.03279
299365;1.4632;0.619077;1.04574
314300;1.49192;0.625837;1.06007
329981;1.51712;0.631419;1.06816
346446;1.53866;0.632864;1.08434
363734;1.57598;0.646373;1.09288
