Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.401722;0.279476;0.280705
10500;0.411372;0.285871;0.295516
11025;0.429503;0.313494;0.291481
11576;0.439379;0.299263;0.290751
12154;0.43961;0.304031;0.294778
12760;0.443984;0.305834;0.303676
13396;0.454144;0.305654;0.304176
14063;0.473683;0.308155;0.305031
14763;0.481856;0.328487;0.310359
15498;0.49654;0.31324;0.320087
16269;0.52417;0.354053;0.332459
17078;0.520339;0.328213;0.323175
17927;0.511734;0.34012;0.328048
18818;0.536264;0.342906;0.335414
19753;0.536249;0.355063;0.345433
20734;0.551144;0.355159;0.342323
21764;0.565963;0.363234;0.350878
22845;0.566582;0.37012;0.357396
23980;0.571065;0.390523;0.361276
25171;0.589948;0.36596;0.362351
26421;0.555532;0.371721;0.386302
27733;0.577477;0.38145;0.385169
29110;0.58377;0.392012;0.368193
30555;0.588692;0.39779;0.376026
32072;0.589665;0.396027;0.406783
33664;0.637787;0.443232;0.393292
35335;0.611501;0.413438;0.391981
37089;0.612502;0.421513;0.388644
38930;0.626453;0.432071;0.395146
40863;0.662013;0.462675;0.41862
42892;0.626241;0.44063;0.414903
45022;0.636994;0.458944;0.407815
47258;0.646089;0.464072;0.412642
49605;0.675427;0.380843;0.386657
52069;0.636118;0.389906;0.401956
54656;0.663346;0.401857;0.401535
57372;0.728324;0.441548;0.425521
60223;0.744479;0.455742;0.459572
63216;0.742292;0.425051;0.430483
66358;0.74498;0.459183;0.439567
69657;0.75949;0.486955;0.450119
73120;0.730792;0.43974;0.434509
76756;0.702501;0.449656;0.430066
80573;0.716929;0.460571;0.424551
84580;0.709225;0.440578;0.421
88787;0.725837;0.452873;0.442919
93204;0.752511;0.487887;0.450454
97841;0.75009;0.482768;0.466767
102709;0.810357;0.472544;0.452071
107820;0.773283;0.465965;0.444701
113186;0.81826;0.499883;0.460877
118820;0.855855;0.52668;0.490459
124735;0.999275;0.548728;0.518636
130945;1.22216;0.647249;0.522748
137465;1.27915;0.611111;0.540302
144311;1.26825;0.600977;0.545793
151499;1.17162;0.640565;0.562383
159046;1.31545;0.695532;0.560729
166970;1.01502;0.628005;0.52804
175290;1.04145;0.65627;0.576828
184026;1.1381;0.666333;0.569152
193198;1.05908;0.64534;0.53961
202828;1.11939;0.590971;0.550599
212939;1.06097;0.61432;0.574141
223555;1.00755;0.625756;0.561418
234701;1.25605;0.631199;0.599721
246404;1.17649;0.73468;0.7058
258692;1.62141;0.675043;0.606186
271594;1.26282;0.693582;0.600606
285141;1.40538;0.684707;0.591982
299365;1.48272;0.756406;0.636353
314300;1.65543;0.796411;0.623756
329981;1.53444;0.762038;0.65427
346446;1.56464;0.834426;0.676068
363734;1.55715;0.830931;0.694266
381886;1.67842;0.826603;0.694316
400945;1.67832;0.619437;0.560284
420956;1.62467;0.675185;0.600383
441967;1.56049;0.674128;0.584295
464028;1.5973;0.693393;0.586604
487192;1.63544;0.732756;0.667871
511514;2.00573;0.744104;0.664109
537052;1.95039;0.76071;0.665543
563866;2.84682;0.948131;0.596278
592020;1.38348;0.773059;0.726668
621581;1.77401;0.744208;0.662796
652620;1.71664;0.730503;0.668837
685210;1.69419;0.760588;0.658358
719429;1.6115;0.763288;0.631001
755358;1.8675;0.823793;0.665763
793083;1.98956;0.7079;0.666454
832694;1.8916;0.710579;0.648182
874285;1.96987;0.743913;0.655003
917955;2.19173;0.74869;0.631038
963808;2.03651;0.752975;0.664559
1011953;2.25635;0.82393;0.698249
1062505;3.07367;1.369;0.733323
1115584;2.42468;0.848159;0.832907
1171316;2.25666;0.842568;0.713377
1229834;2.05311;0.825313;0.670312
1291277;2.14861;0.79914;0.631209
1355792;1.9954;0.882525;0.678504
1423532;2.26623;0.835518;0.770687
1494659;2.29432;0.916956;0.852891
1569342;2.59325;1.16943;0.946059
1647759;2.55027;1.02245;0.968588
1730096;2.73702;1.02975;1.33681
1816549;2.65941;1.08947;0.961234
1907324;2.55424;1.10239;0.911082
2002637;2.72904;1.12515;0.981663
2102715;2.9177;1.19601;1.0482
2207796;3.04772;1.20768;1.02414
2318131;2.95216;1.27578;1.1047
2433982;3.18736;1.34028;1.37377
2555625;3.08776;1.36515;1.07013
2683350;3.12518;1.30521;1.11461
2817461;3.19371;1.31799;1.14194
2958277;3.45973;1.60154;1.20006
Scattered unsuccessful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.419828;0.298824;0.235061
10500;0.42664;0.3091;0.236932
11025;0.440589;0.33286;0.255575
11576;0.468514;0.329014;0.259957
12154;0.519331;0.356327;0.266361
12760;0.502192;0.281009;0.24608
13396;0.388213;0.281318;0.24893
14063;0.414455;0.315272;0.270918
14763;0.425507;0.299681;0.257307
15498;0.423387;0.305945;0.264693
16269;0.422287;0.311054;0.26916
17078;0.435264;0.324102;0.270698
17927;0.451861;0.331781;0.274907
18818;0.477268;0.339944;0.285075
19753;0.471837;0.354372;0.295816
20734;0.491521;0.366216;0.294269
21764;0.505496;0.371318;0.299676
22845;0.533589;0.405416;0.306462
23980;0.529113;0.420962;0.327001
25171;0.557695;0.322378;0.285199
26421;0.425296;0.329983;0.287115
27733;0.435372;0.342763;0.312438
29110;0.447072;0.333216;0.301866
30555;0.457926;0.37354;0.314692
32072;0.480131;0.352276;0.308144
33664;0.474513;0.359558;0.308188
35335;0.490465;0.369827;0.310617
37089;0.521418;0.385267;0.330513
38930;0.512572;0.384975;0.324063
40863;0.529804;0.397797;0.328615
42892;0.533895;0.406999;0.339399
45022;0.55189;0.416312;0.335721
47258;0.570935;0.422409;0.343949
49605;0.58822;0.322523;0.303207
52069;0.438297;0.332806;0.306732
54656;0.448701;0.338523;0.303621
57372;0.475707;0.348013;0.309654
60223;0.477579;0.3575;0.319269
63216;0.47633;0.360252;0.328599
66358;0.482389;0.373906;0.328233
69657;0.49156;0.381657;0.333131
73120;0.501027;0.382415;0.329714
76756;0.521598;0.426412;0.363555
80573;0.565506;0.409425;0.361685
84580;0.548405;0.424062;0.355259
88787;0.563446;0.426973;0.363456
93204;0.576517;0.442146;0.37319
97841;0.594929;0.45991;0.371163
102709;0.615878;0.35281;0.316075
107820;0.493375;0.367796;0.3276
113186;0.513276;0.379602;0.330823
118820;0.530908;0.400356;0.337176
124735;0.538112;0.413371;0.354807
130945;0.553169;0.420249;0.372093
137465;0.638156;0.465156;0.387073
144311;0.609492;0.485773;0.375166
151499;0.616347;0.473352;0.384916
159046;0.642953;0.488503;0.400719
166970;0.66907;0.512855;0.396466
175290;0.713981;0.530975;0.40507
184026;0.727911;0.555521;0.429866
193198;0.927377;0.843938;0.48093
202828;0.778445;0.393277;0.343478
212939;0.547048;0.411169;0.361294
223555;0.556132;0.466229;0.376504
234701;0.579081;0.473276;0.379522
246404;0.639373;0.475559;0.377931
258692;0.67075;0.477376;0.372464
271594;0.702846;0.5417;0.385974
285141;0.685077;0.525865;0.40394
299365;0.715011;0.564743;0.407315
314300;0.722126;0.577617;0.44814
329981;0.747553;0.572076;0.476617
346446;0.939061;0.626011;0.457307
363734;0.915281;0.635324;0.472818
381886;0.930019;0.662625;0.508794
400945;0.934853;0.505003;0.392571
420956;0.724003;0.535547;0.393209
441967;0.720472;0.529308;0.682251
464028;1.5397;0.741195;0.42843
487192;0.736099;0.604037;0.413403
511514;0.78602;0.575879;0.465331
537052;0.839406;0.66961;0.474309
563866;0.972086;0.654636;0.486129
592020;0.950658;0.867066;0.501179
621581;1.09944;0.811258;0.647299
652620;1.03757;0.838961;0.498153
685210;1.13055;0.782104;0.577629
719429;1.17709;1.01688;0.507993
