cset: --> last message, executed args into cpuset "/user", new pid is: 1384192
No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.588503;0.492669;0.47362
10500;0.597175;0.496617;0.475579
11025;0.591093;0.500975;0.483833
11576;0.59253;0.505814;0.486322
12154;0.593625;0.510405;0.492229
12760;0.59649;0.46578;0.449421
13396;0.599728;0.470595;0.454713
14063;0.605454;0.47576;0.461147
14763;0.606129;0.480624;0.46441
15498;0.608739;0.485814;0.470235
16269;0.61066;0.489836;0.474819
17078;0.608626;0.493464;0.481812
17927;0.610682;0.499495;0.484123
18818;0.613993;0.504324;0.490998
19753;0.617958;0.512279;0.49759
20734;0.618924;0.516221;0.503163
21764;0.625108;0.524231;0.510377
22845;0.630281;0.530148;0.516663
23980;0.629448;0.537219;0.524547
25171;0.636026;0.50294;0.49075
26421;0.639052;0.507141;0.495522
27733;0.642361;0.511669;0.50174
29110;0.647262;0.516726;0.505412
30555;0.647012;0.520016;0.510974
32072;0.654787;0.525071;0.517603
33664;0.657241;0.533799;0.524842
35335;0.659847;0.542574;0.53365
37089;0.665861;0.544422;0.539762
38930;0.670602;0.55101;0.548187
40863;0.677987;0.556545;0.55478
42892;0.678835;0.56243;0.563142
45022;0.685085;0.569289;0.572168
47258;0.68303;0.576579;0.579669
49605;0.690088;0.539852;0.537415
52069;0.691162;0.543261;0.541946
54656;0.696879;0.546555;0.546822
57372;0.699586;0.5524;0.553423
60223;0.70257;0.559212;0.55944
63216;0.706404;0.56539;0.566215
66357;0.707224;0.578745;0.573009
69656;0.710048;0.575877;0.578434
73119;0.714962;0.58122;0.586391
76755;0.711189;0.585965;0.59444
80572;0.719202;0.594664;0.602626
84579;0.720326;0.600035;0.609711
88786;0.719999;0.613836;0.618146
93203;0.725119;0.613984;0.626471
97840;0.725147;0.620914;0.635204
102706;0.727501;0.564879;0.556061
107816;0.731794;0.568398;0.561117
113182;0.7305;0.571829;0.566126
118816;0.732516;0.576045;0.572071
124731;0.732975;0.590743;0.57819
130941;0.73445;0.585727;0.584587
137461;0.73624;0.591156;0.591924
144307;0.735229;0.599317;0.599306
151495;0.73856;0.60557;0.608203
159042;0.740884;0.614715;0.616087
166965;0.743125;0.620869;0.623249
