Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.321871;0.228195;0.220547
10500;0.326674;0.230945;0.224793
11025;0.330911;0.234863;0.228661
11576;0.336074;0.2381;0.232714
12154;0.343023;0.242658;0.236115
12760;0.348689;0.219677;0.201099
13396;0.303145;0.222301;0.203479
14063;0.307952;0.225686;0.207413
14763;0.311111;0.228422;0.209807
15498;0.314879;0.22911;0.21296
16269;0.318253;0.232512;0.216402
17078;0.323607;0.235568;0.219124
17927;0.328345;0.24105;0.225124
18818;0.334778;0.24415;0.226743
19753;0.341142;0.247931;0.232142
20734;0.344626;0.252012;0.237975
21764;0.352131;0.257098;0.237253
22845;0.353291;0.261849;0.2424
23980;0.361253;0.265583;0.247896
25171;0.368548;0.249608;0.22624
26421;0.347096;0.252519;0.232279
27733;0.355119;0.254574;0.235088
29110;0.358551;0.257667;0.242773
30555;0.368266;0.260386;0.245664
32072;0.372356;0.263152;0.250769
33664;0.380773;0.266531;0.256357
35335;0.390125;0.270584;0.261179
37089;0.395659;0.273791;0.265464
38930;0.403584;0.277655;0.270232
40863;0.412105;0.280515;0.276373
42892;0.419803;0.284875;0.281273
45022;0.429175;0.288631;0.286254
47258;0.43871;0.293028;0.292372
49605;0.448856;0.271943;0.267723
52069;0.428807;0.272362;0.269791
54656;0.435625;0.275451;0.274508
57372;0.442652;0.27709;0.277352
60223;0.447904;0.279502;0.281474
63216;0.456093;0.282578;0.286485
66357;0.460319;0.284606;0.290231
69656;0.468253;0.289059;0.294787
73119;0.474759;0.290935;0.298183
76755;0.48239;0.294609;0.302666
80572;0.488945;0.298061;0.306736
84579;0.497041;0.302174;0.311528
88786;0.504948;0.305202;0.318184
93203;0.514458;0.30923;0.319706
97840;0.520424;0.313047;0.32
102706;0.494388;0.286771;0.296096
107816;0.496142;0.289933;0.299553
113182;0.508432;0.29676;0.304101
118816;0.506416;0.294435;0.306868
124731;0.52305;0.308082;0.30956
130941;0.517748;0.298361;0.311826
137461;0.533219;0.306089;0.315103
144307;0.526342;0.304327;0.317716
151495;0.533394;0.309586;0.327537
159042;0.545555;0.332657;0.349558
166965;0.569397;0.33104;0.344059
175284;0.561275;0.327356;0.339412
184019;0.581342;0.34668;0.36721
193190;0.623739;0.38184;0.389177
202820;0.633571;0.36005;0.342056
212931;0.602233;0.371815;0.366938
223547;0.654262;0.412269;0.380368
234692;0.640974;0.42989;0.387472
246395;0.6548;0.415164;0.437411
258683;0.732948;0.458121;0.45882
271585;0.787726;0.518588;0.505795
285132;0.844071;0.509301;0.489698
299354;0.805886;0.494967;0.486719
314289;0.851019;0.516205;0.490173
329969;0.818921;0.499876;0.500211
346432;0.818425;0.477367;0.485914
363719;0.79068;0.520366;0.491868
381870;0.873256;0.526216;0.502152
400928;0.800826;0.499926;0.527379
420937;0.904405;0.526518;0.543356
441947;0.926687;0.550218;0.514109
464005;0.804242;0.525685;0.491987
487165;0.871375;0.54001;0.549755
511485;0.980722;0.570686;0.558973
537019;0.989716;0.589023;0.583716
563827;1.02301;0.598731;0.59827
591977;1.06298;0.602964;0.57083
621532;0.951711;0.578959;0.598375
652567;1.01672;0.611026;0.562373
685151;0.933734;0.580854;0.578008
719359;1.01168;0.592587;0.567715
755280;0.999509;0.637839;0.699736
792997;1.26431;0.668707;0.676971
832595;1.25034;0.6925;0.690468
874177;1.24224;0.679487;0.731405
917832;1.29187;0.678685;0.690214
963677;1.19245;0.661765;0.716317
1011813;1.181;0.645543;0.657237
1062351;1.19157;0.730876;0.775931
1115422;1.34194;0.724339;0.752336
1171143;1.29834;0.691112;0.723555
1229634;1.26891;0.695644;0.716414
1291062;1.2859;0.723497;0.780431
1355554;1.32302;0.729976;0.816288
1423274;1.43882;0.738768;0.796236
1494380;1.43262;0.75862;0.830341
1569031;1.43882;0.73855;0.839685
1647417;1.42079;0.748049;0.827094
1729734;1.4256;0.731065;0.792097
1816153;1.30601;0.740783;0.772419
1906885;1.33286;0.716795;0.790385
2002164;1.37262;0.729998;0.817829
2102198;1.44042;0.749415;0.839485
2207233;1.44124;0.755389;0.850803
2317508;1.49043;0.762199;0.833722
2433290;1.50263;0.787547;0.880725
2554854;1.54975;0.813022;0.898088
2682511;1.56041;0.817062;0.90286
2816546;1.5362;0.808475;0.915072
2957287;1.55936;0.813298;0.897092
