No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.01271;0.428939;0.657536
10500;1.02689;0.429727;0.663063
11025;1.01025;0.435441;0.663689
11576;1.0302;0.436399;0.666088
12154;1.01081;0.440847;0.670369
12760;1.02786;0.432833;0.684879
13396;1.02607;0.428968;0.68567
14063;1.0407;0.432228;0.692995
14763;1.04853;0.438637;0.695739
15498;1.04812;0.433894;0.694793
16269;1.05675;0.440927;0.701823
17078;1.05696;0.438204;0.699774
17927;1.05827;0.443081;0.706803
18818;1.07025;0.442076;0.707103
19753;1.06548;0.441514;0.71265
20734;1.06086;0.442845;0.715166
21764;1.06532;0.451798;0.714182
22845;1.08337;0.446969;0.722064
23980;1.0792;0.45339;0.725415
25171;1.08076;0.447804;0.719705
26421;1.08669;0.449499;0.724092
27733;1.08789;0.450636;0.729132
29110;1.09217;0.458688;0.735807
30555;1.10496;0.455666;0.744331
32072;1.09244;0.458746;0.742342
33664;1.1171;0.461924;0.749551
35335;1.11855;0.464022;0.756569
37089;1.12082;0.473683;0.759501
38930;1.13355;0.475509;0.767844
40863;1.16157;0.476807;0.773146
42892;1.16415;0.486663;0.780695
45022;1.16954;0.487642;0.793375
47258;1.20373;0.493695;0.801535
49605;1.21778;0.473855;0.808613
52069;1.24515;0.477691;0.817152
54656;1.26664;0.482094;0.828396
57372;1.28922;0.490925;0.841535
60223;1.30962;0.496085;0.852714
63216;1.33325;0.498689;0.864171
66358;1.36813;0.505995;0.879729
69657;1.37806;0.513667;0.889851
73120;1.41191;0.522548;0.902619
76756;1.4373;0.52371;0.916299
80573;1.46055;0.532753;0.927611
84580;1.48187;0.538604;0.943588
88787;1.51667;0.561863;0.960496
93204;1.56147;0.559043;0.97692
97841;1.56464;0.56633;0.983847
102709;1.58886;0.583737;0.997171
107820;1.61099;0.587965;1.00863
113186;1.63148;0.600665;1.0207
118820;1.6673;0.608934;1.0335
124735;1.69655;0.609334;1.04647
130945;1.70138;0.620709;1.05847
137465;1.73519;0.621982;1.06686
144311;1.77563;0.641744;1.08523
151499;1.78651;0.649813;1.10046
159046;1.81534;0.665902;1.13649
166970;1.86812;0.671401;1.139
175290;1.86992;0.678286;1.15179
184026;1.75929;0.71892;1.10992
193198;1.84647;0.674784;1.13435
202828;1.87411;0.677172;1.13755
212939;1.85287;0.669623;1.23433
223555;1.88017;0.672609;1.14037
234701;1.90845;0.688014;1.16671
246404;1.94199;0.684922;1.17552
258692;2.90438;0.754514;1.189
271594;2.05843;0.7273;1.21462
285141;2.43103;0.747385;1.29566
299365;2.10288;0.753319;1.2426
314300;2.04673;0.766661;1.26733
329981;2.28734;0.824427;1.32124
346446;4.3499;1.10281;1.65471
363734;2.90569;0.834696;1.34918
381886;2.75385;0.998613;1.40627
400945;2.47169;0.808093;1.40553
420956;2.4312;0.845252;1.49434
