No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.588534;0.493225;0.479798
10500;0.601395;0.499782;0.486689
11025;0.594301;0.504521;0.493498
11576;0.593677;0.51004;0.499142
12154;0.594276;0.515331;0.508917
12760;0.601813;0.45839;0.447584
13396;0.59904;0.461269;0.451965
14063;0.593065;0.466101;0.456407
14763;0.601199;0.472349;0.463052
15498;0.604065;0.473748;0.468972
16269;0.604608;0.480452;0.473637
17078;0.605053;0.485248;0.479504
17927;0.60565;0.493665;0.486112
18818;0.609346;0.498231;0.492726
19753;0.60919;0.503415;0.499377
20734;0.605833;0.508845;0.505059
21764;0.61215;0.514549;0.51441
22845;0.609379;0.517211;0.520026
23980;0.608989;0.523007;0.526731
25171;0.613329;0.467489;0.456302
26421;0.618602;0.471314;0.462889
27733;0.622356;0.478385;0.468821
29110;0.619192;0.482811;0.474835
30555;0.619998;0.488286;0.481721
32072;0.625279;0.491268;0.487836
33664;0.625722;0.500651;0.496876
35335;0.628106;0.506642;0.507715
37089;0.629489;0.514331;0.514358
38930;0.633537;0.52019;0.523411
40863;0.643848;0.528141;0.531021
42892;0.646964;0.534819;0.540453
45022;0.653576;0.540168;0.551019
47258;0.648192;0.550137;0.560987
49605;0.664429;0.500431;0.495872
52069;0.669154;0.505084;0.503159
54656;0.676428;0.511009;0.511216
57372;0.678333;0.516864;0.519474
60223;0.69368;0.525982;0.528144
63216;0.698354;0.532389;0.537065
66357;0.709229;0.558078;0.548114
69656;0.716062;0.545608;0.557014
73119;0.726345;0.555361;0.568672
76755;0.723048;0.563148;0.579039
80572;0.733729;0.573218;0.591037
84579;0.748493;0.582819;0.605213
88786;0.754347;0.611512;0.616252
93203;0.76083;0.60307;0.630283
97840;0.76271;0.613459;0.643598
102706;0.775221;0.558806;0.558938
107816;0.784258;0.563039;0.566953
113182;0.785971;0.57106;0.575467
118816;0.790034;0.57709;0.585675
124731;0.803242;0.606311;0.596264
130941;0.806312;0.590555;0.606967
137461;0.815802;0.599537;0.618805
144307;0.817236;0.615616;0.630261
151495;0.827824;0.625148;0.644654
159042;0.83276;0.642196;0.658048
166965;0.844164;0.655245;0.673514
175284;0.853341;0.668222;0.688059
184019;0.856791;0.706082;0.706298
193190;0.866082;0.685507;0.725095
202820;0.865002;0.611165;0.622638
212931;0.893383;0.620301;0.626826
223547;0.90357;0.628554;0.64638
234692;0.887194;0.633837;0.653984
246395;0.933125;0.660343;0.701177
258683;0.982889;0.74074;0.756798
271585;1.03234;0.758871;0.786165
285132;1.12405;0.726339;0.718698
299354;0.936759;0.699909;0.728519
314289;0.938416;0.702597;0.747507
329969;0.962541;0.709744;0.733056
346432;0.882266;0.735851;0.767884
363719;1.0174;0.764013;0.803498
381870;0.952856;0.746638;0.811262
400928;0.96396;0.66829;0.67463
420937;0.975511;0.680258;0.687269
441947;0.977718;0.684672;0.737856
464005;1.04921;0.721184;0.738337
487165;0.97714;0.701626;0.72785
511485;0.97165;0.702065;0.722033
537019;0.976353;0.70451;0.727386
563827;0.985036;0.708173;0.722164
591977;0.985249;0.75486;0.757189
621532;0.960887;0.737738;0.844445
652567;1.06948;0.822584;0.868885
685151;1.08036;0.876161;1.05081
719359;1.29624;0.945708;1.06702
755280;1.50832;1.1191;1.19024
792997;1.55139;1.1276;1.07779
832595;1.62679;1.06358;0.988824
874177;1.28636;0.933586;1.09474
917832;1.31423;1.06826;1.03214
963677;1.31225;0.908776;0.992781
1011813;1.40954;1.04274;1.1533
1062351;1.58748;1.17229;1.2088
1115422;1.59594;1.11596;1.12106
1171143;1.57244;1.13393;1.21733
1229634;1.72859;1.2189;1.40778
1291062;1.54194;0.988484;1.19189
1355554;1.53562;1.17639;1.29506
1423274;1.74443;1.24024;1.28965
1494380;1.66506;1.4463;1.40102
1569031;1.51122;1.15923;1.28884
1647417;1.61412;1.19141;1.12793
1729734;1.62131;1.2412;1.27065
1816153;1.84514;1.47553;1.53913
1906885;1.99009;1.43957;1.45023
2002164;1.89299;1.36058;1.39501
2102198;1.79778;1.33418;1.34993
2207233;1.87754;1.33958;1.3773
2317508;1.89564;1.37142;1.41652
2433290;2.02014;1.44915;1.61413
2554854;1.9414;1.33753;1.38327
2682511;1.8161;1.34423;1.47853
2816546;1.95709;1.42043;1.60069
2957287;1.94459;1.43473;1.65925
Runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.806634;0.760921;0.741245
10500;0.805675;0.753481;0.735358
11025;0.797569;0.746955;0.729659
11576;0.802428;0.743677;0.728665
12154;0.80036;0.739888;0.728278
12760;0.800148;0.908792;0.883097
13396;0.907444;0.891812;0.866988
14063;0.891328;0.877883;0.853355
14763;0.882419;0.86387;0.840359
15498;0.868142;0.849684;0.829779
16269;0.863711;0.835728;0.817817
17078;0.861567;0.826145;0.809364
17927;0.855878;0.81549;0.80106
18818;0.845007;0.807477;0.792212
19753;0.842782;0.7981;0.786359
20734;0.842415;0.792022;0.780248
21764;0.836362;0.783834;0.773713
22845;0.832338;0.779259;0.768851
23980;0.832476;0.771914;0.764846
25171;0.831836;0.958878;0.944767
26421;0.959649;0.942231;0.929771
27733;0.948354;0.92639;0.91453
29110;0.932629;0.911906;0.899775
30555;0.930461;0.897171;0.884847
32072;0.918065;0.884204;0.874766
33664;0.91198;0.871799;0.863979
35335;0.908094;0.86176;0.855942
37089;0.904247;0.85135;0.844036
38930;0.894357;0.843614;0.837444
40863;0.898268;0.834727;0.829967
42892;0.897638;0.827059;0.823331
45022;0.898079;0.820012;0.82129
47258;0.896265;0.815833;0.817442
49605;0.898733;1.02207;1.04443
52069;1.06952;1.00266;1.02591
54656;1.05616;0.9853;1.00812
57372;1.04919;0.969499;0.99361
60223;1.04052;0.954805;0.974629
63216;1.03085;0.940667;0.96258
66357;1.02741;0.928223;0.951314
69656;1.02519;0.915593;0.938754
73119;1.02248;0.907468;0.9316
76755;1.02171;0.894047;0.915222
80572;1.02173;0.886839;0.918395
84579;1.01705;0.880188;0.906906
88786;1.01687;0.873785;0.906549
93203;1.0276;0.87127;0.903527
97840;1.0266;0.868084;0.907333
102706;1.03278;1.07728;1.14829
107816;1.22924;1.05963;1.12662
113182;1.21247;1.03944;1.10203
118816;1.20379;1.02574;1.08908
124731;1.19008;1.01034;1.07307
130941;1.18232;0.995149;1.06023
