Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.584994;0.306437;0.30459
10500;0.583164;0.311389;0.30985
11025;0.601893;0.326151;0.315135
11576;0.612029;0.319069;0.320573
12154;0.629193;0.323555;0.324444
12760;0.62967;0.312947;0.322337
13396;0.628374;0.31934;0.331668
14063;0.63417;0.320611;0.336784
14763;0.648613;0.32398;0.338908
15498;0.652484;0.327811;0.336798
16269;0.662942;0.327874;0.342491
17078;0.669983;0.331305;0.344901
17927;0.672397;0.330708;0.348131
18818;0.693709;0.334351;0.357401
19753;0.704131;0.341849;0.357971
20734;0.695401;0.343094;0.362864
21764;0.71003;0.349451;0.368374
22845;0.739484;0.358506;0.367171
23980;0.731558;0.351262;0.374169
25171;0.727111;0.338779;0.367047
26421;0.712674;0.343766;0.370118
27733;0.724648;0.350797;0.374239
29110;0.739626;0.346434;0.374163
30555;0.748924;0.3519;0.37271
32072;0.744919;0.354207;0.378071
33664;0.741609;0.350159;0.37876
35335;0.747768;0.356523;0.38068
37089;0.753426;0.356521;0.387584
38930;0.767403;0.36229;0.383707
40863;0.765539;0.365488;0.383409
42892;0.76561;0.367387;0.416304
45022;0.784161;0.371594;0.392917
47258;0.783806;0.370959;0.394003
49605;0.820369;0.370609;0.391669
52069;0.77604;0.364469;0.399318
54656;0.800278;0.3938;0.406465
57372;0.782711;0.365265;0.395267
60223;0.783548;0.371102;0.4068
63216;0.792207;0.369848;0.403424
66357;0.788611;0.379115;0.398436
69656;0.809569;0.376858;0.406443
73119;0.807831;0.382152;0.410883
76755;0.82842;0.409115;0.423011
80572;0.811339;0.383299;0.408966
84579;0.807457;0.393645;0.421109
88786;0.839701;0.408919;0.425092
93203;0.86536;0.438926;0.440112
97840;0.892817;0.436793;0.426975
102706;0.856865;0.465057;0.615936
107816;1.00303;0.491725;0.68177
113182;1.12745;0.541971;0.688719
118816;1.03936;0.50831;0.731655
124731;1.09718;0.518718;0.752478
130941;1.14797;0.574229;0.914355
137461;1.19956;0.62292;0.828468
144307;1.17319;0.56111;0.875625
151495;1.1851;0.607986;0.918353
159042;1.27436;0.718571;0.968819
166965;1.2616;0.659203;0.97932
175284;1.24099;0.618237;1.02833
184019;1.46777;0.699114;1.15581
193190;1.51218;0.751392;1.09392
202820;1.34102;0.762118;1.44641
212931;1.67138;0.811431;1.53038
223547;1.58897;0.740132;1.11863
234692;1.41535;0.742518;1.16907
246395;1.37165;0.727437;1.14562
258683;1.41327;0.838603;1.8231
271585;1.72366;1.00077;1.87242
285132;1.88691;0.900687;1.6788
299354;1.66621;0.909169;1.74343
314289;1.5802;0.88573;1.65683
329969;1.98175;0.998373;1.92086
346432;2.07045;0.994251;1.85884
363719;1.93534;0.999499;2.05221
381870;2.43039;1.13258;2.3296
400928;2.4394;1.20293;2.82609
420937;2.48151;1.24039;3.26881
441947;2.78616;1.20685;2.5247
464005;2.27384;1.20005;3.25853
487165;3.11101;1.38752;3.47882
511485;3.04475;1.36887;3.56474
537019;3.01118;1.4082;3.23804
563827;2.53865;1.324;3.08371
591977;2.55978;1.29341;3.10602
621532;3.06404;1.40018;3.34657
652567;3.03425;1.45627;3.54976
685151;3.08265;1.46559;3.2913
719359;2.98293;1.41023;3.53944
755280;3.1683;1.44178;3.32282
792997;3.19653;1.49475;4.21268
832595;3.2891;1.54261;4.06184
874177;3.32518;1.45756;4.13747
917832;3.46909;1.53418;4.25514
963677;3.48294;1.53113;4.1083
1011813;3.4512;1.5153;3.96808
1062351;3.39855;1.54452;4.1636
1115422;3.52395;1.51684;4.18985
1171143;3.42459;1.56316;4.34494
1229634;3.51099;1.6334;4.08186
1291062;3.40345;1.58888;4.19103
1355554;3.46358;1.5287;3.87947
1423274;3.55602;1.58005;3.8325
1494380;3.34696;1.59422;3.81764
1569031;3.30153;1.48522;3.53302
1647417;3.31145;1.61319;4.57866
1729734;3.59246;1.62377;4.53631
1816153;3.69321;1.6024;4.45213
1906885;3.69335;1.62231;4.37647
2002164;3.59687;1.60751;4.47843
2102198;3.65731;1.66208;4.36141
2207233;3.70867;1.69177;4.43106
2317508;3.69631;1.71407;4.53405
2433290;3.92721;1.76277;4.53348
2554854;3.87546;1.75129;4.55514
2682511;3.87073;1.76133;4.56605
2816546;3.90277;1.7395;4.65564
2957287;4.0384;1.80496;4.60221
