Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.348781;0.251805;0.269207
10500;0.35399;0.256677;0.275197
11025;0.358443;0.261973;0.280589
11576;0.36537;0.268454;0.285549
12154;0.372621;0.273413;0.28996
12760;0.378779;0.219419;0.245118
13396;0.315257;0.225281;0.251027
14063;0.323671;0.228703;0.255856
14763;0.327935;0.23359;0.260622
15498;0.333385;0.237353;0.263784
16269;0.338755;0.241409;0.268118
17078;0.346108;0.245774;0.271829
17927;0.351506;0.250364;0.276854
18818;0.358891;0.255273;0.28174
19753;0.365645;0.260045;0.287266
20734;0.372097;0.265282;0.293432
21764;0.379265;0.273076;0.298689
22845;0.387426;0.276119;0.305767
23980;0.394392;0.282305;0.310289
25171;0.402551;0.237724;0.268523
26421;0.365686;0.244319;0.273511
27733;0.373699;0.248937;0.278127
29110;0.382809;0.254741;0.285964
30555;0.393124;0.264449;0.292801
32072;0.400398;0.267901;0.297327
33664;0.408553;0.272337;0.303517
35335;0.416237;0.282037;0.31151
37089;0.423987;0.290227;0.319217
38930;0.432934;0.295086;0.326734
40863;0.440329;0.303859;0.334389
42892;0.448446;0.310598;0.342466
45022;0.456837;0.31643;0.350702
47258;0.465906;0.323713;0.35832
49605;0.47675;0.278171;0.31431
52069;0.438295;0.285104;0.320912
54656;0.444523;0.290375;0.325834
57372;0.451282;0.297275;0.331991
60223;0.457763;0.301854;0.339227
63216;0.463085;0.308654;0.345249
66358;0.470765;0.31501;0.352939
69657;0.476461;0.320945;0.357735
73120;0.484065;0.327194;0.364431
76756;0.490855;0.334231;0.369571
80573;0.497393;0.340212;0.376266
84580;0.504221;0.347666;0.383743
88787;0.513714;0.353929;0.390263
93204;0.521272;0.361179;0.397412
97841;0.529706;0.368661;0.405088
102709;0.540266;0.309395;0.34439
107820;0.482656;0.315189;0.352069
113186;0.49338;0.322922;0.355755
118820;0.495517;0.326854;0.359814
124735;0.497067;0.335199;0.366864
130945;0.509467;0.340007;0.373942
137465;0.511336;0.345738;0.381121
144311;0.520781;0.353287;0.387191
151499;0.529833;0.360453;0.395992
159046;0.545813;0.369715;0.412023
166970;0.55726;0.378425;0.412668
175290;0.570494;0.387005;0.422731
184026;0.584635;0.397461;0.433798
193198;0.602196;0.411444;0.441191
202828;0.633845;0.326868;0.388113
212939;0.540185;0.363616;0.408903
223555;0.594087;0.370284;0.444373
234701;0.665365;0.386485;0.419537
246404;0.615686;0.38756;0.43613
258692;0.616674;0.395989;0.427794
271594;0.578662;0.405268;0.456185
285141;0.64986;0.418836;0.460935
299365;0.665116;0.425291;0.457596
314300;0.736451;0.463591;0.510587
329981;0.70941;0.445655;0.492981
346446;0.720479;0.51089;0.535128
363734;0.82868;0.57675;0.61727
381886;0.912449;0.536815;0.580459
400945;0.866955;0.431869;0.543973
420956;0.735998;0.453149;0.565757
441967;1.02976;0.468048;0.530791
464028;0.922175;0.462422;0.529004
487192;0.94077;0.512865;0.634301
511514;0.878408;0.569753;0.595011
537052;1.01661;0.490478;0.54012
563866;1.03174;0.559868;0.589806
592020;0.868726;0.593147;0.729592
621581;0.991915;0.4952;0.631223
652620;1.00757;0.572442;0.6185
685210;1.02929;0.708301;0.803509
719429;1.05525;0.604526;0.73423
755358;1.10057;0.669223;0.821387
793083;1.1204;0.589473;0.723553
832694;1.15933;0.619783;0.74895
874285;1.17599;0.64307;0.828686
917955;1.19784;0.650534;0.724411
963808;1.17339;0.668999;0.767389
1011953;1.16266;0.655097;0.794404
1062505;1.26391;0.748041;0.803205
1115584;1.23556;0.75465;0.899667
1171316;1.31418;0.848242;0.960747
1229834;1.28713;0.846241;0.977199
1291277;1.30101;0.843739;0.962877
1355792;1.31496;0.798762;0.907828
1423532;1.33832;0.82083;0.94635
1494659;1.29166;0.819322;0.936195
1569342;1.30495;0.837401;0.966622
1647759;1.23248;0.758751;0.863456
1730096;1.24494;0.760849;0.851673
1816549;1.25784;0.767492;0.889338
1907324;1.26919;0.794935;0.907196
2002637;1.26626;0.794034;0.891743
2102715;1.26419;0.799069;0.949496
2207796;1.33371;0.852651;0.987328
2318131;1.32497;0.911232;0.987669
2433982;1.35742;0.887868;1.00056
2555625;1.36902;0.910591;1.08352
2683350;1.42041;0.939151;1.11088
2817461;1.43224;0.957593;1.05618
2958277;1.42223;0.976797;1.10453
Scattered unsuccessful lookup:
