Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.348995;0.251437;0.26915
10500;0.353865;0.256332;0.275712
11025;0.358263;0.263436;0.280227
11576;0.36828;0.267478;0.285341
12154;0.372225;0.27332;0.289897
12760;0.379358;0.21928;0.244557
13396;0.314822;0.22324;0.248599
14063;0.321001;0.22717;0.253541
14763;0.325264;0.231795;0.258589
15498;0.330863;0.235959;0.262377
16269;0.337977;0.242149;0.265786
17078;0.348335;0.245055;0.271699
17927;0.353097;0.24947;0.276772
18818;0.360603;0.254038;0.28187
19753;0.369125;0.260122;0.28694
20734;0.3761;0.2686;0.295648
21764;0.383956;0.272128;0.300721
22845;0.390706;0.276175;0.306619
23980;0.39922;0.283488;0.311702
25171;0.407369;0.238799;0.268519
26421;0.369322;0.245126;0.274789
27733;0.379286;0.249933;0.280148
29110;0.38699;0.252597;0.284426
30555;0.394069;0.260769;0.289747
32072;0.402756;0.266428;0.294643
33664;0.407392;0.272583;0.30282
35335;0.421816;0.281512;0.312971
37089;0.428743;0.288026;0.322484
38930;0.437219;0.295541;0.32777
40863;0.445721;0.302203;0.335773
42892;0.453567;0.310063;0.343764
45022;0.462912;0.318976;0.352291
47258;0.472233;0.325202;0.360208
49605;0.482331;0.282347;0.320889
52069;0.446646;0.289095;0.324833
54656;0.452764;0.294958;0.330228
57372;0.459705;0.301686;0.33729
60223;0.465976;0.306905;0.344562
63216;0.471255;0.313253;0.350318
66358;0.479086;0.318657;0.357835
69657;0.485225;0.325058;0.362396
73120;0.4923;0.331274;0.369
76756;0.499282;0.338519;0.374645
80573;0.506375;0.344655;0.381419
84580;0.512882;0.352039;0.389144
88787;0.521898;0.358852;0.396391
93204;0.529892;0.3661;0.402788
97841;0.539118;0.373313;0.41004
102709;0.549592;0.315101;0.349499
107820;0.488471;0.321127;0.356834
113186;0.493662;0.326728;0.359792
118820;0.500135;0.332437;0.36633
124735;0.505802;0.338406;0.372624
130945;0.512302;0.344626;0.380602
137465;0.517569;0.350853;0.386631
144311;0.526017;0.357939;0.392794
151499;0.5372;0.365716;0.400854
159046;0.549708;0.373798;0.409694
166970;0.560577;0.382489;0.418584
175290;0.573637;0.39126;0.426621
184026;0.585152;0.399432;0.436176
193198;0.597781;0.407902;0.443272
202828;0.610157;0.328858;0.383126
212939;0.525544;0.358218;0.39196
223555;0.534134;0.343945;0.379347
234701;0.543108;0.351257;0.38432
246404;0.553735;0.358344;0.394047
258692;0.600932;0.364608;0.421786
271594;0.614886;0.394692;0.427074
285141;0.621832;0.401647;0.437674
299365;0.632441;0.409969;0.442373
314300;0.641964;0.417468;0.452951
329981;0.65247;0.426169;0.462006
346446;0.663463;0.436214;0.471255
363734;0.676024;0.443702;0.481996
381886;0.686813;0.45326;0.491384
400945;0.69875;0.359121;0.404577
420956;0.597422;0.364426;0.410698
441967;0.601933;0.369041;0.409278
464028;0.607957;0.376816;0.413603
487192;0.610233;0.382628;0.421498
511514;0.634805;0.391994;0.43582
537052;0.633994;0.400924;0.447937
563866;0.6535;0.411242;0.454913
592020;0.678938;0.422038;0.461551
621581;0.662708;0.424785;0.4697
652620;0.687798;0.437352;0.481887
685210;0.703019;0.445226;0.492704
719429;0.723869;0.457383;0.507391
755358;0.756083;0.478717;0.521242
793083;0.783418;0.400231;0.471832
832694;0.816242;0.412601;0.508522
874285;0.891564;0.434559;0.542579
917955;0.984091;0.445416;0.510364
963808;0.878115;0.453541;0.514556
1011953;0.879898;0.469822;0.570136
1062505;0.914053;0.478968;0.571773
1115584;0.934913;0.50265;0.587876
1171316;0.954635;0.520004;0.629227
1229834;0.999152;0.552443;0.638023
1291277;0.97934;0.578997;0.656252
1355792;1.02002;0.593548;0.664387
1423532;1.01755;0.596477;0.661062
1494659;0.998004;0.581534;0.648707
1569342;1.0032;0.608419;0.68233
1647759;1.0776;0.590572;0.713711
1730096;1.10908;0.656613;0.753819
1816549;1.13903;0.636666;0.738809
1907324;1.14274;0.658239;0.77092
2002637;1.14704;0.660921;0.749302
2102715;1.16509;0.695606;0.776188
2207796;1.17771;0.707621;0.80484
2318131;1.1896;0.746156;0.812771
2433982;1.20538;0.751953;0.861578
2555625;1.22467;0.768337;0.881224
2683350;1.25894;0.799865;0.916766
2817461;1.28925;0.840155;0.939086
2958277;1.28608;0.838199;0.929362
Scattered unsuccessful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.469346;0.308609;0.327086
10500;0.479717;0.313063;0.33229
11025;0.489515;0.31641;0.338585
11576;0.496801;0.321652;0.343533
12154;0.512506;0.325455;0.349014
12760;0.524966;0.26784;0.289951
13396;0.385657;0.272577;0.295748
14063;0.39662;0.273782;0.30274
14763;0.406098;0.280629;0.310402
15498;0.417739;0.28781;0.318894
16269;0.430638;0.2958;0.325287
17078;0.440241;0.302771;0.340306
17927;0.450292;0.311529;0.346034
18818;0.464009;0.316619;0.352088
19753;0.478297;0.325911;0.35981
20734;0.490155;0.331139;0.366803
21764;0.501889;0.336776;0.371852
22845;0.515271;0.343586;0.378134
23980;0.52861;0.349144;0.384722
25171;0.546529;0.27269;0.308877
26421;0.429628;0.278037;0.31907
27733;0.452333;0.288597;0.329644
29110;0.468198;0.297741;0.337933
30555;0.476982;0.305712;0.354029
32072;0.499867;0.315324;0.35753
33664;0.520808;0.327783;0.374401
35335;0.532981;0.333809;0.382515
37089;0.549777;0.344857;0.392021
38930;0.571355;0.354632;0.403964
40863;0.588353;0.363154;0.415785
42892;0.608113;0.372905;0.432775
45022;0.628896;0.382114;0.441792
47258;0.64855;0.392742;0.453575
49605;0.669608;0.31359;0.357163
52069;0.520734;0.323958;0.377656
54656;0.535774;0.331783;0.382562
57372;0.550737;0.340871;0.395903
60223;0.56969;0.350764;0.406015
63216;0.582007;0.359807;0.421391
66358;0.606874;0.370024;0.431149
69657;0.623533;0.379912;0.440015
73120;0.640973;0.389588;0.456562
76756;0.664491;0.39876;0.470143
80573;0.680588;0.40938;0.480887
84580;0.703103;0.417727;0.492075
88787;0.722565;0.427277;0.504166
93204;0.74237;0.436618;0.516146
97841;0.764578;0.446093;0.527409
102709;0.785405;0.350144;0.407748
107820;0.578959;0.361084;0.422661
113186;0.600659;0.370416;0.434143
118820;0.61838;0.378155;0.440151
124735;0.633477;0.389072;0.453465
130945;0.643501;0.39835;0.472921
137465;0.661397;0.408382;0.483917
144311;0.682375;0.417705;0.495002
151499;0.708369;0.431697;0.507106
159046;0.737674;0.444053;0.528164
166970;0.769048;0.458262;0.545608
175290;0.797785;0.472053;0.563164
184026;0.826098;0.48567;0.583933
193198;0.856235;0.500166;0.602516
202828;0.887355;0.371664;0.437461
212939;0.62662;0.383719;0.460138
223555;0.646741;0.394838;0.471762
234701;0.669384;0.40715;0.479104
246404;0.692859;0.419226;0.497003
258692;0.761863;0.430162;0.516853
271594;0.791168;0.442353;0.530013
