cset: --> last message, executed args into cpuset "/user", new pid is: 505520
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.465643;0.389598;0.572964
10500;0.470585;0.39416;0.575204
11025;0.472425;0.39784;0.578576
11576;0.480846;0.401831;0.582308
12154;0.473002;0.402342;0.589499
12760;0.478039;0.409201;0.610888
13396;0.484749;0.410126;0.614403
14063;0.505913;0.414034;0.615573
14763;0.50609;0.416838;0.621796
15498;0.487494;0.416975;0.626171
16269;0.493451;0.424092;0.634212
17078;0.510898;0.422247;0.641197
17927;0.509813;0.42347;0.645773
18818;0.516776;0.424448;0.650054
19753;0.519686;0.429079;0.65419
20734;0.525698;0.434511;0.658231
21764;0.52798;0.437261;0.664894
22845;0.544436;0.44198;0.672603
23980;0.548847;0.446362;0.681471
25171;0.558402;0.452575;0.692315
26421;0.556698;0.459189;0.69906
27733;0.565183;0.46157;0.704468
29110;0.566953;0.468653;0.715469
30555;0.5744;0.475987;0.722657
32072;0.577552;0.473693;0.726084
33664;0.583335;0.479698;0.736091
35335;0.59078;0.482578;0.742354
37089;0.590218;0.490093;0.747604
38930;0.603756;0.497665;0.75713
40863;0.607121;0.499931;0.763854
42892;0.618325;0.504305;0.770619
45022;0.624534;0.512758;0.777507
47258;0.625074;0.51591;0.784439
49605;0.637371;0.50582;0.780126
52069;0.642702;0.511305;0.786353
54656;0.643046;0.51247;0.789024
57372;0.650529;0.517593;0.796919
60223;0.649129;0.520111;0.801573
63216;0.65069;0.521802;0.80776
66358;0.655047;0.526821;0.813966
69657;0.657732;0.528534;0.815354
73120;0.664191;0.532164;0.822199
76756;0.668283;0.536513;0.826368
80573;0.681017;0.539565;0.832602
84580;0.684518;0.541026;0.834244
88787;0.681405;0.54562;0.83961
93204;0.688834;0.550423;0.843734
97841;0.69483;0.555871;0.848385
102709;0.696247;0.555537;0.84843
107820;0.701679;0.554828;0.850795
113186;0.690862;0.558805;0.85395
118820;0.700983;0.563106;0.858213
124735;0.708025;0.562263;0.862085
130945;0.709271;0.565728;0.86581
137465;0.712286;0.56618;0.869945
144311;0.715932;0.574348;0.872341
151499;0.713399;0.579233;0.876941
159046;0.717684;0.580534;0.88173
166970;0.719091;0.586019;0.885348
175290;0.722604;0.589947;0.889209
184026;0.725324;0.618164;0.89227
193198;0.728482;0.592943;0.89567
202828;0.731579;0.587767;0.897376
212939;0.737273;0.583864;0.904043
223555;0.737655;0.588576;0.90853
234701;0.742351;0.59985;0.916351
246404;0.746719;0.601673;0.924912
258692;0.746928;0.60309;0.933557
271594;0.754674;0.608994;0.943366
285141;0.762526;0.612541;0.953162
299365;0.770665;0.618298;0.96568
314300;0.779653;0.626529;0.981599
329981;0.78953;0.631966;0.991995
346446;0.80249;0.639722;1.00788
363734;0.815393;0.648412;1.02059
381886;0.833115;0.675549;1.04001
400945;0.846336;0.688769;1.13788
420956;0.866957;0.701028;1.16972
441967;0.887928;0.713277;1.20254
464028;0.915708;0.724049;1.23687
487192;0.937319;0.736281;1.27634
511514;0.964043;0.744033;1.31912
537052;1.00441;0.763825;1.36391
563866;1.04169;0.783494;1.41181
592020;1.07654;0.797378;1.46595
621581;1.1252;0.821286;1.51793
652620;1.16676;0.844631;1.57752
685210;1.23837;0.869162;1.63409
719429;1.28573;0.889942;1.69747
755358;1.32942;0.921302;1.75734
793083;1.39664;1.12627;2.02492
832694;1.44748;1.15613;2.08911
874285;1.5127;1.19272;2.15691
917955;1.57963;1.21916;2.22058
963808;1.63096;1.2598;2.28975
1011953;1.68615;1.28998;2.352
1062505;1.75454;1.31565;2.41012
1115584;1.80516;1.34935;2.47107
1171316;1.87448;1.38789;2.52977
1229834;1.92995;1.41628;2.58925
1291277;1.99767;1.45336;2.65135
1355792;2.06514;1.48825;2.7045
1423532;2.11507;1.51816;2.76188
1494659;2.18239;1.56238;2.82363
1569342;2.24898;1.59523;2.88164
1647759;2.29938;1.77439;3.05072
1730096;2.35944;1.80697;3.10101
1816549;2.40932;1.83908;3.15168
1907324;2.46601;1.87002;3.19819
2002637;2.51038;1.89341;3.24483
