cset: --> last message, executed args into cpuset "/user", new pid is: 366162
Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.505205;0.424321;0.34498
10500;0.511143;0.430809;0.35114
11025;0.520305;0.431589;0.349286
11576;0.522315;0.438897;0.356993
12154;0.530677;0.442321;0.365587
12760;0.53866;0.45593;0.372797
13396;0.541015;0.460194;0.376002
14063;0.546165;0.470636;0.383065
14763;0.561583;0.473108;0.388796
15498;0.563551;0.471993;0.394898
16269;0.582176;0.47675;0.398456
17078;0.587266;0.482265;0.403333
17927;0.592485;0.483592;0.410199
18818;0.605516;0.48899;0.419437
19753;0.617719;0.495756;0.422609
20734;0.628758;0.499656;0.429865
21764;0.640675;0.499027;0.432065
22845;0.652657;0.502965;0.436062
23980;0.661729;0.514851;0.442123
25171;0.670392;0.521426;0.450755
26421;0.677907;0.528241;0.455284
27733;0.685595;0.528897;0.461156
29110;0.69059;0.532299;0.466495
30555;0.700293;0.538891;0.47004
32072;0.706453;0.538896;0.474438
33664;0.716108;0.547076;0.476313
35335;0.718704;0.551277;0.483569
37089;0.732106;0.552782;0.486099
38930;0.734765;0.556845;0.489773
40863;0.740999;0.559458;0.49549
42892;0.7345;0.562206;0.496706
45022;0.742731;0.567825;0.500372
47258;0.753348;0.572671;0.502826
49605;0.75396;0.555671;0.507548
52069;0.761255;0.563825;0.5106
54656;0.769191;0.564555;0.512537
57372;0.772422;0.562758;0.516407
60223;0.776297;0.569062;0.519002
63216;0.785037;0.571574;0.521238
66358;0.79101;0.575713;0.522345
69657;0.797295;0.573762;0.52561
73120;0.802261;0.575862;0.528145
76756;0.803424;0.578327;0.530095
80573;0.811417;0.580476;0.531629
84580;0.811791;0.581913;0.533738
88787;0.790493;0.581278;0.536005
93204;0.799098;0.588404;0.537893
97841;0.798783;0.589228;0.538396
102709;0.802039;0.585005;0.53927
107820;0.805508;0.584675;0.542274
113186;0.807178;0.590098;0.543871
118820;0.812634;0.591444;0.546117
124735;0.817336;0.597912;0.546812
130945;0.820468;0.598371;0.54922
137465;0.824321;0.600831;0.549366
144311;0.830735;0.610756;0.551627
151499;0.830183;0.617934;0.552893
159046;0.834577;0.624392;0.554676
166970;0.841207;0.627047;0.557688
175290;0.841252;0.635126;0.559603
184026;0.853388;0.642969;0.559729
193198;0.860059;0.645885;0.562582
202828;0.873828;0.702479;0.605071
212939;0.887349;0.711971;0.607654
223555;0.909583;0.736282;0.618466
234701;0.929366;0.756195;0.629407
246404;0.9504;0.774406;0.646313
258692;0.976537;0.814683;0.665379
271594;1.00354;0.838516;0.680252
285141;1.0262;0.869204;0.701542
299365;1.05908;0.899516;0.718462
