Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.288925;0.19485;0.187802
10500;0.264012;0.200012;0.186911
11025;0.267714;0.204001;0.191244
11576;0.272765;0.208766;0.19364
12154;0.273375;0.214698;0.197475
12760;0.277447;0.191827;0.192897
13396;0.278321;0.195949;0.195439
14063;0.279604;0.200353;0.197121
14763;0.283381;0.202131;0.197733
15498;0.281849;0.199054;0.196742
16269;0.295242;0.208509;0.20117
17078;0.29687;0.205945;0.20247
17927;0.29599;0.207627;0.201578
18818;0.303695;0.210275;0.203766
19753;0.308909;0.213763;0.205394
20734;0.316884;0.221347;0.211073
21764;0.294022;0.22766;0.212305
22845;0.298155;0.22883;0.215668
23980;0.299942;0.235854;0.216408
25171;0.306802;0.211088;0.20966
26421;0.30719;0.21518;0.209944
27733;0.310052;0.21675;0.210854
29110;0.311699;0.22405;0.216066
30555;0.312913;0.231139;0.217733
32072;0.32426;0.230751;0.218334
33664;0.329179;0.237022;0.220296
35335;0.331627;0.237475;0.221933
37089;0.343341;0.241712;0.222775
38930;0.351386;0.251337;0.225913
40863;0.355896;0.248918;0.226739
42892;0.340658;0.25899;0.230371
45022;0.350487;0.268147;0.233454
47258;0.36033;0.271449;0.237571
49605;0.36736;0.221449;0.216128
52069;0.377404;0.228217;0.215947
54656;0.391541;0.235443;0.219083
57372;0.398797;0.240994;0.22521
60223;0.410538;0.249404;0.229945
63216;0.425564;0.255655;0.232865
66358;0.436797;0.260882;0.236249
69657;0.447275;0.264836;0.242443
73120;0.458106;0.272949;0.247073
76756;0.464707;0.280804;0.251136
80573;0.477016;0.285894;0.254176
84580;0.483994;0.291409;0.261228
88787;0.428839;0.299545;0.2661
93204;0.437221;0.307818;0.269004
97841;0.443268;0.314294;0.273948
102709;0.450392;0.290926;0.267436
107820;0.456204;0.295408;0.270575
113186;0.461407;0.300145;0.273778
118820;0.470269;0.30756;0.277914
124735;0.475671;0.31402;0.281872
130945;0.484393;0.322132;0.286923
137465;0.492298;0.323531;0.288007
144311;0.504066;0.336339;0.293938
151499;0.509477;0.349259;0.300466
159046;0.528134;0.362747;0.30716
166970;0.546896;0.373027;0.317356
175290;0.464721;0.385938;0.319629
184026;0.530089;0.395074;0.324077
193198;0.489122;0.406688;0.33322
202828;0.498257;0.336237;0.321542
212939;0.561999;0.370157;0.324075
223555;0.574005;0.346804;0.318084
234701;0.585839;0.384402;0.333236
246404;0.596394;0.389851;0.314868
258692;0.560933;0.395153;0.321187
271594;0.567678;0.376301;0.330534
285141;0.587588;0.384924;0.330967
299365;0.603895;0.395619;0.336831
314300;0.61307;0.406717;0.344477
329981;0.626705;0.414769;0.347256
346446;0.652337;0.422655;0.351058
363734;0.554394;0.448299;0.366621
381886;0.619846;0.447692;0.361637
400945;0.587022;0.365697;0.331057
420956;0.600865;0.380245;0.338431
441967;0.58381;0.3692;0.33016
464028;0.633881;0.362826;0.345872
487192;0.637106;0.387434;0.351138
511514;0.663964;0.394061;0.353925
537052;0.678503;0.405264;0.356022
563866;0.709258;0.425876;0.366502
592020;0.720127;0.433123;0.375988
621581;0.739622;0.461351;0.378496
652620;0.784686;0.454391;0.382688
685210;0.82722;0.462484;0.38939
719429;0.698323;0.490201;0.418758
755358;0.69758;0.473373;0.392503
793083;0.687345;0.389728;0.350679
832694;0.710919;0.397281;0.339353
874285;0.744591;0.395511;0.343248
917955;0.773316;0.44924;0.3547
963808;0.865994;0.429011;0.372223
1011953;0.954704;0.449162;0.391026
1062505;0.968397;0.484877;0.377062
1115584;0.97709;0.47522;0.379322
1171316;1.01057;0.493713;0.390259
1229834;1.07422;0.507877;0.404637
1291277;1.3216;0.588936;0.507408
1355792;1.16878;0.564802;0.429121
1423532;1.24749;0.59011;0.465618
1494659;1.16848;0.604923;0.49551
1569342;1.22236;0.702305;0.52981
