cset: --> last message, executed args into cpuset "/user", new pid is: 3655117
No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.504855;0.431663;0.41701
10500;0.497622;0.427363;0.433055
11025;0.505976;0.430585;0.425992
11576;0.506572;0.433732;0.429683
12154;0.498247;0.439748;0.435661
12760;0.505052;0.398818;0.396531
13396;0.504504;0.399345;0.396867
14063;0.501842;0.401309;0.406997
14763;0.510361;0.40458;0.404227
15498;0.507702;0.409792;0.417131
16269;0.518515;0.415674;0.416286
17078;0.518079;0.420945;0.422948
17927;0.520752;0.441071;0.428944
18818;0.53343;0.438;0.437315
19753;0.530973;0.442297;0.439985
20734;0.54568;0.451176;0.446828
21764;0.546568;0.447065;0.451928
22845;0.547104;0.465221;0.45923
23980;0.545734;0.456781;0.465766
25171;0.54876;0.421439;0.428136
26421;0.549407;0.424477;0.432026
27733;0.557232;0.427919;0.438846
29110;0.559367;0.432447;0.443007
30555;0.56727;0.437855;0.445008
32072;0.56279;0.443096;0.449012
33664;0.556373;0.4459;0.455631
35335;0.566429;0.451757;0.463247
37089;0.572265;0.457961;0.469638
38930;0.570414;0.463406;0.476714
40863;0.5804;0.468046;0.483363
42892;0.580614;0.475571;0.490548
45022;0.591386;0.481781;0.499252
47258;0.590176;0.490346;0.507044
49605;0.585969;0.442692;0.451285
52069;0.596213;0.445846;0.455659
54656;0.601514;0.450283;0.4609
57372;0.610828;0.455212;0.467189
60223;0.606863;0.460324;0.472955
63216;0.601168;0.467524;0.47992
66357;0.610594;0.481299;0.487448
69656;0.607629;0.487165;0.493782
73119;0.605267;0.48142;0.500885
76755;0.615502;0.487481;0.508567
80572;0.612072;0.494967;0.51628
84579;0.623769;0.501645;0.524426
88786;0.623646;0.508834;0.532847
93203;0.620432;0.515644;0.541353
97840;0.630561;0.525792;0.55015
102706;0.627947;0.464368;0.476256
107816;0.637425;0.467781;0.480835
113182;0.632272;0.471654;0.485805
118816;0.628495;0.482751;0.491852
124731;0.639018;0.486945;0.498046
130941;0.63419;0.488567;0.50434
137461;0.630554;0.494551;0.511631
144307;0.640792;0.497617;0.518632
151495;0.63655;0.503661;0.525915
159042;0.646619;0.510216;0.534052
166965;0.642517;0.516981;0.542504
175284;0.637395;0.523542;0.550914
184019;0.64803;0.530303;0.55945
193190;0.647707;0.537356;0.56866
202820;0.643088;0.479344;0.493276
212931;0.654561;0.484759;0.499814
223547;0.6493;0.490418;0.506969
234692;0.661401;0.497599;0.514183
246395;0.658944;0.503636;0.522449
258683;0.654607;0.509854;0.530882
271585;0.666542;0.519678;0.539746
285132;0.663826;0.528046;0.550288
299354;0.678207;0.535035;0.562429
314289;0.682134;0.547349;0.574805
329969;0.685778;0.55678;0.585791
346432;0.699605;0.569539;0.601381
363719;0.706466;0.574963;0.613381
381870;0.708891;0.590135;0.629836
400928;0.729572;0.577868;0.602827
420937;0.737928;0.589338;0.617299
441947;0.761807;0.603567;0.632153
464005;0.773341;0.61626;0.647221
487165;0.787137;0.633598;0.664527
511485;0.816312;0.64648;0.683965
537019;0.834277;0.662043;0.705127
563827;0.855214;0.685877;0.727523
591977;0.891167;0.705825;0.750857
621532;0.919213;0.726228;0.777246
652567;0.959134;0.747245;0.805622
685151;0.989981;0.779512;0.834906
719359;1.01934;0.807098;0.865307
755280;1.06324;0.836414;0.897211
792997;1.08795;0.931725;0.96565
832595;1.13391;0.995582;0.988608
874177;1.15969;0.997741;1.01306
917832;1.18886;1.01968;1.03806
963677;1.2334;1.04291;1.06661
1011813;1.26105;1.04623;1.09266
1062351;1.28626;1.07109;1.12212
1115422;1.33518;1.09639;1.15337
1171143;1.363;1.12519;1.18531
1229634;1.41325;1.15619;1.22096
1291062;1.44279;1.18696;1.25678
1355554;1.47242;1.21891;1.29456
1423274;1.5223;1.25134;1.33455
1494380;1.54614;1.28697;1.37702
1569031;1.57005;1.32282;1.42003
1647417;1.61991;1.38036;1.44381
1729734;1.64115;1.40079;1.4697
1816153;1.69266;1.41438;1.49812
1906885;1.71226;1.43804;1.52811
2002164;1.7262;1.46464;1.55961
2102198;1.77619;1.48096;1.59044
2207233;1.78864;1.5024;1.62654
2317508;1.84446;1.5303;1.66289
2433290;1.85782;1.5613;1.69939
2554854;1.86431;1.58925;1.73941
2682511;1.91541;1.62226;1.78235
2816546;1.92658;1.65629;1.82265
2957287;1.93037;1.68886;1.86722
Runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.68813;0.633038;0.631371
10500;0.785839;0.623566;0.621934
11025;0.77499;0.617472;0.617388
11576;0.767467;0.612522;0.616018
12154;0.759495;0.608146;0.612978
12760;0.752229;0.761399;0.757662
13396;0.746587;0.745528;0.742868
14063;0.74286;0.732536;0.729449
14763;0.735992;0.720531;0.720218
15498;0.735003;0.708666;0.709092
16269;0.732443;0.699156;0.699659
17078;0.729463;0.689637;0.692299
17927;0.728415;0.680363;0.684962
18818;0.730214;0.673956;0.6793
19753;0.731387;0.665702;0.673083
20734;0.732305;0.660049;0.669873
21764;0.834383;0.653615;0.665167
22845;0.827348;0.649012;0.661728
23980;0.818792;0.64489;0.659714
25171;0.813544;0.819124;0.821493
26421;0.806801;0.806127;0.809083
27733;0.801846;0.791664;0.796441
29110;0.798641;0.778376;0.785374
30555;0.796801;0.766059;0.77213
32072;0.79701;0.755632;0.764518
33664;0.795145;0.745525;0.755401
35335;0.795475;0.737271;0.748851
37089;0.797469;0.729358;0.744053
38930;0.797617;0.721972;0.737985
40863;0.800183;0.715491;0.732776
42892;0.921743;0.709157;0.727878
45022;0.910482;0.705318;0.725717
47258;0.90205;0.700735;0.724513
49605;0.891243;0.887042;0.900296
52069;0.883547;0.868464;0.882889
54656;0.876384;0.85233;0.868875
57372;0.871496;0.83802;0.856385
60223;0.868081;0.823802;0.842816
63216;0.864116;0.811711;0.832892
66357;0.8626;0.800512;0.823148
69656;0.860469;0.789772;0.814738
73119;0.860609;0.780125;0.807475
76755;0.860887;0.772041;0.800507
80572;0.862658;0.764211;0.794731
84579;0.862603;0.757497;0.790057
88786;0.981452;0.751901;0.785702
93203;0.969901;0.746173;0.78333
97840;0.957358;0.74232;0.780722
102706;0.949373;0.920853;0.9483
107816;0.937346;0.902265;0.930836
113182;0.932468;0.885345;0.915236
118816;0.924536;0.870202;0.901565
