cset: --> last message, executed args into cpuset "/user", new pid is: 555504
Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.320321;0.2684;0.243617
10500;0.301098;0.271368;0.244493
11025;0.305595;0.275192;0.246332
11576;0.311735;0.280224;0.258008
12154;0.313974;0.283518;0.264741
12760;0.32237;0.268607;0.271774
13396;0.32771;0.270743;0.276022
14063;0.339406;0.272963;0.283968
14763;0.341221;0.275497;0.288291
15498;0.347888;0.276697;0.293718
16269;0.356142;0.280219;0.29832
17078;0.361928;0.284437;0.306662
17927;0.372495;0.286503;0.312437
18818;0.380615;0.290962;0.318088
19753;0.385158;0.294697;0.324633
20734;0.394119;0.298251;0.331699
21764;0.378606;0.302152;0.336065
22845;0.383779;0.30699;0.342407
23980;0.389559;0.310324;0.347329
25171;0.395188;0.285409;0.354367
26421;0.401684;0.28821;0.358259
27733;0.407138;0.29004;0.363442
29110;0.413824;0.293441;0.366587
30555;0.418802;0.29597;0.371048
32072;0.425405;0.29891;0.374058
33664;0.431091;0.302027;0.377622
35335;0.436544;0.30577;0.381458
37089;0.442492;0.308856;0.385566
38930;0.448565;0.312065;0.388597
40863;0.454608;0.316054;0.392085
42892;0.426076;0.319942;0.395841
45022;0.430551;0.32406;0.399373
47258;0.434558;0.3282;0.402506
49605;0.439255;0.297299;0.40273
52069;0.44206;0.300011;0.405218
54656;0.445892;0.30265;0.407151
57372;0.450705;0.304542;0.409328
60223;0.454976;0.308045;0.411232
63216;0.459393;0.30998;0.413561
66357;0.464747;0.313405;0.415629
69656;0.469481;0.316266;0.418052
73119;0.474147;0.318829;0.419683
76755;0.478078;0.322521;0.422077
80572;0.483785;0.326168;0.42444
84579;0.488467;0.329653;0.426819
88786;0.451691;0.334141;0.429419
93203;0.454564;0.33821;0.431259
97840;0.458362;0.342358;0.433651
102706;0.461966;0.312008;0.429287
107816;0.465606;0.312591;0.430551
113182;0.469259;0.315778;0.43152
118816;0.472918;0.318437;0.432657
124731;0.476681;0.322083;0.43431
130941;0.480692;0.322785;0.43499
137461;0.48494;0.327692;0.437243
144307;0.489372;0.332035;0.43844
151495;0.493196;0.336028;0.439916
159042;0.497436;0.343788;0.442069
166965;0.503036;0.355299;0.443849
175284;0.482599;0.362388;0.445793
184019;0.493867;0.371354;0.448186
193190;0.501414;0.379908;0.452482
202820;0.514517;0.422433;0.489238
212931;0.523131;0.440469;0.496931
223547;0.536398;0.455671;0.50896
234692;0.566536;0.492659;0.525879
246395;0.583686;0.505689;0.533229
258683;0.591439;0.524019;0.548751
271585;0.610726;0.543335;0.555778
285132;0.622261;0.56593;0.581462
299354;0.65485;0.598264;0.60798
314289;0.680109;0.626256;0.63813
329969;0.715835;0.6547;0.654565
346432;0.739072;0.679164;0.692264
363719;0.963098;0.708841;0.729595
381870;1.00789;0.732313;0.770035
400928;1.05618;0.880876;1.02538
420937;1.11126;0.90061;1.08756
441947;1.16616;0.921637;1.13013
464005;1.2151;0.945586;1.17188
487165;1.25895;0.962166;1.21864
511485;1.30675;0.981532;1.27253
537019;1.36029;1.00155;1.32373
563827;1.41687;1.01845;1.37121
591977;1.4695;1.03702;1.42703
621532;1.51774;1.05564;1.47221
652567;1.56692;1.0756;1.51891
685151;1.61561;1.09325;1.56421
719359;1.84206;1.11246;1.60357
755280;1.88084;1.12905;1.64906
792997;1.91547;1.18758;1.86081
832595;1.94677;1.20078;1.89178
874177;1.98213;1.20862;1.92737
917832;2.01338;1.22132;1.9392
963677;2.0411;1.2326;1.98013
1011813;2.07127;1.24502;1.99786
1062351;2.10904;1.25601;2.03565
1115422;2.13292;1.26912;2.05775
1171143;2.16295;1.2806;2.08332
1229634;2.1933;1.29363;2.10989
1291062;2.22286;1.30318;2.13401
1355554;2.24594;1.31539;2.15258
1423274;2.27722;1.32841;2.17376
1494380;2.36278;1.34127;2.19569
1569031;2.3822;1.35426;2.22185
1647417;2.40039;1.34308;2.32982
1729734;2.42359;1.35239;2.3482
1816153;2.44173;1.36172;2.35036
1906885;2.46333;1.36957;2.37753
2002164;2.4851;1.37852;2.38858
2102198;2.50281;1.38732;2.40619
2207233;2.52338;1.39673;2.41975
2317508;2.53965;1.40589;2.42513
2433290;2.55957;1.4152;2.44009
2554854;2.57754;1.42451;2.45402
2682511;2.60022;1.43486;2.47026
2816546;2.61499;1.44576;2.48065
2957287;2.63498;1.4543;2.48083
