cset: --> last message, executed args into cpuset "/user", new pid is: 725968
Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.2454;0.184775;0.195857
10500;0.198865;0.186461;0.197311
11025;0.202595;0.190862;0.203612
11576;0.208718;0.196658;0.209752
12154;0.212847;0.200258;0.215615
12760;0.220518;0.16787;0.18406
13396;0.224123;0.170318;0.187614
14063;0.230477;0.17439;0.192102
14763;0.234826;0.17781;0.194831
15498;0.238196;0.181535;0.197947
16269;0.246635;0.187926;0.203716
17078;0.251954;0.190768;0.208157
17927;0.257934;0.194873;0.212358
18818;0.26528;0.199958;0.218848
19753;0.268988;0.203587;0.221505
20734;0.276076;0.209332;0.227423
21764;0.230691;0.211719;0.23088
22845;0.235009;0.216758;0.235955
23980;0.239569;0.219587;0.24087
25171;0.243934;0.18492;0.204898
26421;0.248652;0.18865;0.208931
27733;0.252957;0.192142;0.212916
29110;0.257603;0.195166;0.216445
30555;0.262529;0.198534;0.219974
32072;0.268806;0.202468;0.224486
33664;0.273496;0.206552;0.227886
35335;0.279069;0.211784;0.232811
37089;0.283883;0.216571;0.238032
38930;0.289618;0.220854;0.241994
40863;0.294973;0.22513;0.24619
42892;0.242825;0.228584;0.250135
45022;0.246302;0.233552;0.255267
47258;0.249078;0.237065;0.258935
49605;0.253108;0.193147;0.211334
52069;0.257089;0.195717;0.214379
54656;0.261064;0.198581;0.217685
57372;0.265407;0.202023;0.221949
60223;0.269799;0.205774;0.226121
63216;0.275092;0.209765;0.230108
66358;0.27973;0.21381;0.233896
69657;0.284716;0.217636;0.237806
73120;0.289899;0.221945;0.242043
76756;0.295081;0.226339;0.246721
80573;0.300288;0.230844;0.250801
84580;0.304862;0.234701;0.254805
88787;0.250573;0.238925;0.259
93204;0.253504;0.242736;0.263072
97841;0.25715;0.2466;0.267425
102709;0.260806;0.199995;0.216428
107820;0.264783;0.202809;0.219549
113186;0.268991;0.205583;0.223193
118820;0.273504;0.209215;0.227005
124735;0.278447;0.212761;0.230544
130945;0.283441;0.216443;0.234512
137465;0.288661;0.220589;0.23869
144311;0.29442;0.224829;0.243075
151499;0.299079;0.22901;0.247287
159046;0.304032;0.23353;0.251502
166970;0.309574;0.238142;0.256185
175290;0.257766;0.242183;0.260008
184026;0.26269;0.245966;0.264467
193198;0.268626;0.250298;0.268902
202828;0.275754;0.206844;0.225584
212939;0.279514;0.21146;0.229092
223555;0.282773;0.215226;0.234088
234701;0.292879;0.219472;0.23926
246404;0.297984;0.22546;0.244543
258692;0.307482;0.229924;0.249975
271594;0.320345;0.236886;0.255695
285141;0.329638;0.243568;0.261691
299365;0.343245;0.250085;0.269645
314300;0.353522;0.256656;0.276754
329981;0.365732;0.265068;0.284743
346446;0.379853;0.271728;0.2918
363734;0.399492;0.278944;0.300008
381886;0.413355;0.288027;0.308244
400945;0.430578;0.281413;0.306916
420956;0.446875;0.285445;0.313982
441967;0.457574;0.297334;0.325344
464028;0.478017;0.30619;0.339839
487192;0.494694;0.323555;0.352074
511514;0.515918;0.334057;0.36583
537052;0.535359;0.346107;0.382621
563866;0.55634;0.362013;0.398147
592020;0.578286;0.374301;0.414829
621581;0.60139;0.38834;0.430585
652620;0.622379;0.402892;0.44944
685210;0.646207;0.417646;0.467233
719429;0.671229;0.433199;0.485825
755358;0.677561;0.451936;0.50039
793083;0.687707;0.448414;0.508412
832694;0.699227;0.456847;0.520379
874285;0.708103;0.468023;0.531701
917955;0.720639;0.477982;0.547961
963808;0.733358;0.487339;0.558719
1011953;0.74849;0.497618;0.572195
1062505;0.763362;0.509393;0.584466
1115584;0.779603;0.521087;0.597285
1171316;0.797198;0.533673;0.612442
1229834;0.815471;0.546658;0.62646
1291277;0.834931;0.560217;0.644072
1355792;0.855399;0.573499;0.65902
1423532;0.876244;0.587854;0.674355
