No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.569321;0.429073;0.638713
10500;0.576648;0.432144;0.633049
11025;0.577311;0.435446;0.637189
11576;0.584794;0.437355;0.639899
12154;0.57239;0.440158;0.644554
12760;0.579504;0.438977;0.666005
13396;0.590962;0.436623;0.664657
14063;0.614488;0.440851;0.669138
14763;0.61217;0.44142;0.669902
15498;0.590232;0.438033;0.670527
16269;0.598029;0.444678;0.67571
17078;0.600466;0.443373;0.67895
17927;0.597799;0.443474;0.67937
18818;0.597499;0.443141;0.679366
19753;0.59916;0.44618;0.683777
20734;0.604509;0.45175;0.691518
21764;0.604335;0.44842;0.691829
22845;0.619351;0.455088;0.696979
23980;0.619738;0.458484;0.704221
25171;0.628225;0.464761;0.715376
26421;0.622377;0.467451;0.72097
27733;0.625698;0.468561;0.726074
29110;0.629623;0.477403;0.738406
30555;0.636685;0.482892;0.746982
32072;0.637393;0.482604;0.751898
33664;0.647854;0.4885;0.761577
35335;0.650803;0.49004;0.770507
37089;0.654301;0.497965;0.777743
38930;0.664538;0.502942;0.788658
40863;0.670297;0.506545;0.797301
42892;0.683801;0.521215;0.80497
45022;0.688438;0.519868;0.816299
47258;0.691392;0.519532;0.825375
49605;0.709394;0.519294;0.838781
52069;0.717332;0.524187;0.850581
54656;0.720357;0.528002;0.857368
57372;0.728269;0.533925;0.86989
60223;0.733618;0.537713;0.878446
63216;0.743108;0.541705;0.890258
66358;0.753129;0.549403;0.900179
69657;0.760672;0.549979;0.908301
73120;0.771676;0.556455;0.919954
76756;0.781854;0.564714;0.930521
80573;0.802241;0.571778;0.941132
84580;0.808631;0.576647;0.952627
88787;0.812006;0.581601;0.961022
93204;0.826939;0.592194;0.97126
97841;0.837724;0.59387;0.981055
102709;0.845962;0.612509;1.00352
107820;0.856232;0.618937;1.0138
113186;0.84899;0.624073;1.02277
118820;0.866856;0.629648;1.03159
124735;0.882533;0.635738;1.04552
130945;0.892993;0.643149;1.04882
137465;0.8985;0.646914;1.06278
144311;0.910444;0.660101;1.06729
151499;0.912401;0.666149;1.07472
159046;0.919215;0.674422;1.08407
