Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.77818;0.59792;0.469375
10500;0.776583;0.602379;0.471929
11025;0.781834;0.607055;0.474087
11576;0.786059;0.609162;0.476534
12154;0.786774;0.615415;0.479281
12760;0.792374;0.621871;0.483284
13396;0.794055;0.625671;0.481289
14063;0.796751;0.638758;0.48537
14763;0.809615;0.635899;0.488518
15498;0.806378;0.63795;0.49229
16269;0.818617;0.646063;0.493442
17078;0.817994;0.650527;0.49431
17927;0.818235;0.651049;0.496861
18818;0.823056;0.656718;0.50356
19753;0.834957;0.664625;0.504111
20734;0.836436;0.670202;0.507082
21764;0.848918;0.674327;0.510286
22845;0.854043;0.677336;0.521406
23980;0.875194;0.695147;0.528112
25171;0.884324;0.700194;0.526764
26421;0.879553;0.708727;0.531729
27733;0.887989;0.714694;0.537971
29110;0.895219;0.719194;0.547357
30555;0.906479;0.734729;0.549621
32072;0.916274;0.729215;0.554509
33664;0.928549;0.739915;0.562347
35335;0.944597;0.751625;0.569599
37089;0.968735;0.756448;0.577568
38930;0.972545;0.761833;0.583805
40863;0.984375;0.765808;0.589089
42892;0.987511;0.772539;0.593859
45022;0.998615;0.782689;0.60241
47258;1.0183;0.79092;0.606606
49605;1.02264;0.785603;0.614477
52069;1.03494;0.792568;0.620666
54656;1.04609;0.796294;0.622821
57372;1.0552;0.801721;0.630442
60223;1.06517;0.806419;0.635902
63216;1.05782;0.805141;0.63162
66358;1.06824;0.809749;0.636005
69657;1.08158;0.813083;0.644589
73120;1.09957;0.817343;0.649574
76756;1.10703;0.823281;0.652765
80573;1.12138;0.826901;0.657065
84580;1.12304;0.832493;0.661714
88787;1.10366;0.835185;0.664492
93204;1.11517;0.845167;0.668746
97841;1.11919;0.849053;0.672066
102709;1.12724;0.861813;0.678169
107820;1.13526;0.864779;0.682905
113186;1.13864;0.871385;0.68621
118820;1.15194;0.876349;0.690087
124735;1.1568;0.882584;0.694027
130945;1.16873;0.89033;0.700073
137465;1.17608;0.886816;0.703641
144311;1.19036;0.899192;0.708513
151499;1.19482;0.936859;0.732994
159046;1.24042;0.963592;0.763051
166970;1.28851;0.985517;0.791907
175290;1.41928;1.01822;0.818759
184026;1.37932;1.03201;0.845481
193198;1.41018;1.05071;0.873538
202828;1.44625;1.17696;0.970197
212939;1.54204;1.19804;0.999762
223555;1.56909;1.21719;1.02231
234701;1.4292;1.23796;1.05743
246404;1.64394;1.27123;1.07947
258692;1.67499;1.28255;1.10611
271594;1.73407;1.37512;1.14356
285141;1.8024;1.39154;1.16196
299365;1.78831;1.3556;1.18375
314300;1.82186;1.40871;1.23599
329981;1.68691;1.52615;1.26261
346446;1.95943;1.5127;1.28221
363734;1.87912;1.57377;1.43945
381886;2.00795;1.70659;1.35175
400945;1.98894;1.51654;1.21514
420956;1.9904;1.53379;1.33611
441967;1.92278;1.55419;1.36181
464028;2.09873;1.59258;1.30627
487192;2.07808;1.68175;1.55029
511514;2.22568;1.68192;1.36799
537052;2.24855;1.80626;1.3471
563866;2.17324;1.7433;1.52197
592020;2.32117;1.96796;1.52197
621581;2.26653;1.81797;1.59004
652620;2.36344;1.86187;1.56591
685210;2.56737;1.97852;1.72083
719429;2.2689;1.9191;1.64908
755358;2.51929;1.77605;1.19322
793083;1.76387;1.70229;1.41181
832694;2.11391;1.8229;1.43336
874285;2.2363;1.88697;1.48344
917955;2.3602;1.87773;1.46172
963808;2.22705;1.8241;1.52215
1011953;2.43923;1.94898;1.69572
1062505;2.68207;2.30886;1.82932
1115584;2.82973;2.06438;1.61631
1171316;2.46491;1.90489;1.59694
1229834;2.60613;1.98967;1.6488
1291277;2.68144;2.14164;1.92085
1355792;2.98106;2.2833;2.04495
1423532;3.05282;2.31651;2.07567
1494659;3.06332;2.41036;2.28367
1569342;3.19289;2.46405;2.24312
1647759;3.12461;2.36161;2.30642
1730096;3.1227;2.31452;2.1378
1816549;3.16448;2.35269;2.13717
1907324;3.1181;2.33295;2.10511
2002637;3.37705;2.59381;2.21944
2102715;3.55429;2.54717;2.24236
2207796;3.53632;2.68429;2.12041
2318131;3.52669;2.58497;2.15921
2433982;3.74106;2.82524;2.27487
2555625;3.16341;2.33213;2.16837
2683350;3.79959;2.7762;2.50238
