No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.533882;0.439529;0.438583
10500;0.527401;0.443865;0.44226
11025;0.537522;0.449396;0.451946
11576;0.539629;0.456266;0.459238
12154;0.528782;0.462131;0.467304
12760;0.537458;0.409856;0.40856
13396;0.54069;0.415138;0.413582
14063;0.531993;0.420962;0.419618
14763;0.540929;0.42492;0.426389
15498;0.543327;0.429461;0.43209
16269;0.556156;0.436003;0.440828
17078;0.551606;0.438902;0.446642
17927;0.547983;0.443447;0.453799
18818;0.559019;0.449607;0.461578
19753;0.554095;0.45364;0.467504
20734;0.564274;0.458753;0.474837
21764;0.559835;0.468678;0.481837
22845;0.55515;0.47399;0.487511
23980;0.566024;0.479238;0.493588
25171;0.565052;0.422382;0.426012
26421;0.561089;0.429311;0.434587
27733;0.571238;0.434023;0.442547
29110;0.566942;0.437893;0.447423
30555;0.576557;0.441254;0.453523
32072;0.570444;0.446536;0.461403
33664;0.564896;0.454727;0.466552
35335;0.57566;0.461576;0.474786
37089;0.580331;0.467432;0.483342
38930;0.577188;0.472975;0.491473
40863;0.588087;0.478454;0.497135
42892;0.591035;0.483501;0.503527
45022;0.601464;0.489202;0.512269
47258;0.60186;0.497922;0.520729
49605;0.597675;0.447534;0.457182
52069;0.610204;0.450444;0.464224
54656;0.618181;0.45463;0.470455
57372;0.631663;0.461093;0.477276
60223;0.628798;0.469002;0.485137
63216;0.626246;0.478183;0.493176
66357;0.64211;0.494025;0.499633
69656;0.640063;0.484165;0.506449
73119;0.640206;0.486295;0.514345
76755;0.655373;0.498375;0.522932
80572;0.655876;0.506647;0.531102
84579;0.669867;0.512479;0.540392
88786;0.671816;0.537267;0.549194
93203;0.672214;0.527386;0.557632
97840;0.685177;0.534121;0.566959
102706;0.687698;0.487018;0.49959
107816;0.700032;0.491892;0.506967
113182;0.700128;0.49694;0.511857
118816;0.696879;0.502519;0.518589
124731;0.712276;0.52786;0.527722
130941;0.709029;0.511978;0.534826
137461;0.711257;0.519049;0.54426
144307;0.726065;0.531115;0.551814
151495;0.720732;0.537139;0.561037
159042;0.736445;0.550202;0.569666
166965;0.739552;0.559414;0.579878
175284;0.732701;0.569669;0.590081
184019;0.749282;0.598084;0.600871
193190;0.75594;0.575201;0.611883
202820;0.745944;0.519337;0.533927
212931;0.760584;0.512674;0.535644
223547;0.747808;0.528536;0.551694
234692;0.785633;0.540506;0.562203
246395;0.774097;0.545841;0.571947
258683;0.776243;0.551831;0.579499
271585;0.791077;0.561737;0.593184
285132;0.789511;0.566426;0.589896
299354;0.801827;0.610196;0.617459
314289;0.840372;0.604627;0.629375
329969;0.806854;0.675451;0.68969
346432;0.941804;0.649084;0.645503
363719;0.856233;0.632799;0.689395
381870;0.893867;0.629484;0.617822
400928;0.801395;0.537708;0.556939
420937;0.778065;0.556099;0.612434
441947;0.900837;0.599038;0.669287
464005;0.859321;0.61275;0.637276
487165;0.855923;0.628265;0.626272
511485;0.948047;0.672997;0.653352
