Scattered erasure:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.509585;0.387344;0.280621
10500;0.461413;0.389584;0.285423
11025;0.460787;0.392649;0.289781
11576;0.464626;0.393812;0.295467
12154;0.469483;0.397051;0.299104
12760;0.47273;0.383165;0.263619
13396;0.477645;0.38647;0.267981
14063;0.486923;0.3901;0.272492
14763;0.493213;0.396856;0.27945
15498;0.496035;0.398948;0.281799
16269;0.503247;0.405757;0.282237
17078;0.503706;0.410328;0.288272
17927;0.510354;0.41445;0.298893
18818;0.524662;0.423741;0.300247
19753;0.529656;0.428473;0.308053
20734;0.539779;0.433801;0.312321
21764;0.503106;0.441947;0.322637
22845;0.512953;0.447757;0.332426
23980;0.520556;0.453599;0.337754
25171;0.532006;0.449472;0.328344
26421;0.539999;0.450028;0.333421
27733;0.5513;0.451729;0.340388
29110;0.562432;0.456741;0.346567
30555;0.56949;0.456169;0.350354
32072;0.575642;0.460026;0.357588
33664;0.585065;0.466209;0.366736
35335;0.596402;0.470629;0.372985
37089;0.606591;0.475517;0.382598
38930;0.622145;0.487834;0.389831
40863;0.634464;0.492311;0.398413
42892;0.60663;0.489263;0.406317
45022;0.616277;0.502619;0.412705
47258;0.624896;0.502127;0.414869
49605;0.623762;0.481855;0.39571
52069;0.63114;0.486295;0.400825
54656;0.637342;0.489764;0.404026
57372;0.646969;0.494029;0.410121
60223;0.65656;0.497723;0.414073
63216;0.663618;0.500883;0.419085
66357;0.672688;0.507449;0.427242
69656;0.693274;0.532786;0.447156
73119;0.727084;0.565288;0.456244
76755;0.731133;0.579782;0.464515
80572;0.741262;0.562194;0.44778
84579;0.717943;0.54177;0.461681
88786;0.679961;0.541915;0.459234
93203;0.686546;0.548798;0.467774
97840;0.704578;0.566406;0.48151
102706;0.719313;0.610331;0.511433
107816;0.795186;0.556013;0.467257
113182;0.736905;0.608594;0.536984
118816;0.904292;0.711887;0.580456
124731;0.924795;0.740467;0.56316
130941;0.919616;0.795883;0.580736
137461;0.984512;0.810777;0.569614
144307;0.809068;0.650308;0.5232
151495;0.810722;0.655058;0.558784
159042;0.836828;0.636101;0.611468
166965;0.889953;0.668657;0.692085
175284;0.903291;0.738858;0.707824
184019;0.949877;0.852432;0.762567
193190;0.954133;0.947912;1.00951
202820;1.24697;1.29161;1.8458
212931;1.46891;1.38574;2.00552
223547;1.74089;1.22753;1.81614
234692;1.61403;1.44512;1.88806
246395;1.89023;1.36767;1.92144
258683;1.70611;1.12096;1.58089
271585;1.76581;1.20222;1.55504
285132;1.37177;1.08839;1.66615
299354;1.90775;1.2379;1.64382
314289;1.91517;1.29242;1.77317
329969;1.80673;1.35354;1.79544
346432;1.81079;1.33806;1.91511
363719;2.07079;1.30222;1.97133
381870;2.18418;1.48994;1.90835
400928;2.4956;1.53814;2.63022
420937;2.51757;1.57985;2.41124
441947;2.61918;1.62651;2.00718
464005;1.94853;1.65417;2.82038
487165;2.66482;1.59371;2.76512
511485;2.64801;1.64782;2.07389
537019;1.94498;1.20044;1.24249
563827;1.54854;1.23386;1.29412
591977;1.61293;1.35995;1.40718
621532;1.73902;1.36821;1.67933
652567;2.01108;1.38268;1.66173
685151;2.064;1.5708;2.10686
719359;2.47476;1.67701;2.16629
755280;2.52873;1.65404;2.23101
792997;2.60909;1.67501;2.11142
832595;2.33133;1.46039;2.35172
874177;2.33341;1.57089;2.10978
917832;2.38505;1.56754;2.01781
963677;2.328;1.51407;2.00757
1011813;2.27245;1.52156;2.04748
1062351;2.54593;1.69592;2.3525
1115422;2.58546;1.7639;2.50464
1171143;2.50139;1.68433;2.24855
1229634;2.5377;1.72628;2.25201
1291062;2.37543;1.63044;2.04438
1355554;2.7992;1.79726;2.75733
1423274;2.82834;1.84994;2.71579
1494380;2.82168;1.92818;2.72589
1569031;2.66243;1.91265;2.59042
1647417;2.86176;1.75216;2.84768
1729734;2.91947;1.74961;2.66974
1816153;2.93182;1.65188;2.44863
1906885;2.85533;1.68793;2.46727
2002164;2.64621;1.76382;2.28911
2102198;2.47071;1.63559;2.64029
2207233;2.80386;1.85163;2.83044
2317508;3.22338;1.83876;2.42453
2433290;3.0256;2.03001;2.59275
2554854;2.61581;1.74285;1.39961
2682511;2.40943;1.71904;1.75509
2816546;2.67895;1.86421;1.68782
2957287;2.10939;1.56357;1.61059
