Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.448205;0.251006;0.270481
10500;0.384832;0.253779;0.273219
11025;0.390015;0.260309;0.278834
11576;0.399834;0.268737;0.284001
12154;0.404375;0.274512;0.29188
12760;0.411653;0.233023;0.253123
13396;0.419057;0.236024;0.257233
14063;0.427763;0.240329;0.26195
14763;0.439297;0.244651;0.263775
15498;0.443586;0.247945;0.267904
16269;0.457715;0.253727;0.274936
17078;0.46498;0.257547;0.280034
17927;0.47463;0.263672;0.287187
18818;0.485351;0.271185;0.289202
19753;0.494526;0.275428;0.295777
20734;0.511495;0.283759;0.301393
21764;0.424103;0.284378;0.303947
22845;0.430143;0.29166;0.310448
23980;0.437943;0.296854;0.316881
25171;0.436207;0.248131;0.269579
26421;0.449211;0.253078;0.276228
27733;0.456272;0.257594;0.280398
29110;0.464998;0.261536;0.283992
30555;0.472344;0.266106;0.288213
32072;0.483782;0.270483;0.294202
33664;0.49804;0.275053;0.292298
35335;0.499749;0.278183;0.304451
37089;0.510803;0.284748;0.309845
38930;0.514168;0.289604;0.314823
40863;0.531076;0.294773;0.318492
42892;0.43968;0.301417;0.32136
45022;0.443665;0.309417;0.329695
47258;0.448892;0.314094;0.332333
49605;0.457079;0.259194;0.276211
52069;0.462679;0.255996;0.278928
54656;0.473821;0.264576;0.282442
57372;0.475328;0.267438;0.28628
60223;0.482059;0.273596;0.291438
63216;0.491496;0.276726;0.296048
66358;0.498227;0.280745;0.301027
69657;0.498977;0.286406;0.306932
73120;0.517737;0.289902;0.313434
76756;0.531591;0.298042;0.318653
80573;0.537739;0.303399;0.323258
84580;0.549147;0.308114;0.327381
88787;0.472537;0.316672;0.335152
93204;0.469477;0.319349;0.336826
97841;0.481878;0.324509;0.34622
102709;0.496283;0.279928;0.289672
107820;0.507583;0.283786;0.294458
113186;0.520578;0.292818;0.306084
118820;0.532658;0.296388;0.306343
124735;0.549388;0.303675;0.319953
130945;0.564686;0.309559;0.32376
137465;0.581566;0.316318;0.331557
144311;0.599816;0.323392;0.334615
151499;0.604799;0.329298;0.340566
159046;0.620085;0.335768;0.347965
166970;0.637581;0.343155;0.353904
175290;0.506962;0.350357;0.362945
184026;0.588134;0.355941;0.373844
193198;0.523325;0.364331;0.380328
202828;0.537181;0.292187;0.337365
212939;0.599141;0.324787;0.342065
223555;0.62187;0.30253;0.31582
234701;0.638416;0.337178;0.318591
246404;0.643222;0.34187;0.324696
258692;0.590544;0.34533;0.330506
271594;0.605473;0.319292;0.336202
285141;0.620435;0.332917;0.346429
299365;0.639954;0.336844;0.348901
314300;0.643689;0.344782;0.358748
329981;0.675117;0.352171;0.36711
346446;0.695004;0.361911;0.393012
363734;0.67564;0.406033;0.384781
381886;0.639961;0.417152;0.432341
400945;0.645689;0.327865;0.340953
420956;0.632776;0.338437;0.348046
441967;0.655556;0.342433;0.352969
464028;0.734821;0.341995;0.388844
487192;0.758655;0.353335;0.397674
511514;0.746306;0.369571;0.411381
537052;0.788025;0.410508;0.442288
563866;0.887436;0.414145;0.396275
592020;0.796921;0.400635;0.519748
621581;0.92673;0.474919;0.429727
652620;0.905848;0.430781;0.461265
685210;0.946719;0.489696;0.491537
719429;1.01262;0.526141;0.504889
755358;1.10806;0.522719;0.551375
793083;1.07064;0.504313;0.510774
832694;1.18388;0.505526;0.533369
874285;1.18652;0.522753;0.527537
917955;1.15647;0.527399;0.569926
963808;1.10275;0.532801;0.583258
1011953;1.2253;0.55143;0.626533
1062505;1.20783;0.594795;0.64515
1115584;1.25418;0.614508;0.651518
1171316;1.34462;0.625421;0.660719
1229834;1.42496;0.628532;0.674036
1291277;1.30947;0.648618;0.686133
1355792;1.35101;0.658805;0.727664
1423532;1.41569;0.672906;0.724545
1494659;1.35883;0.734025;0.730289
1569342;1.39936;0.741816;0.838012
1647759;1.37774;0.664164;0.694495
1730096;1.39559;0.671057;0.693278
1816549;1.41035;0.676594;0.707337
1907324;1.42554;0.689652;0.681015
2002637;1.38854;0.647808;0.728132
2102715;1.2707;0.668577;0.748142
2207796;1.3403;0.698851;0.725048
2318131;1.39884;0.728116;0.744405
2433982;1.39971;0.711052;0.78003
2555625;1.45968;0.73367;0.739512
2683350;1.47839;0.75072;0.773453
2817461;1.51331;0.754403;0.805329
2958277;1.37967;0.791566;0.743231
Scattered unsuccessful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;0.607731;0.299158;0.329608
10500;0.45617;0.301677;0.335479
11025;0.468846;0.31044;0.342359
11576;0.489122;0.318454;0.354584
12154;0.504685;0.321647;0.360358
12760;0.521892;0.264752;0.302123
13396;0.537017;0.273528;0.310239
14063;0.553727;0.280797;0.318283
14763;0.569759;0.28899;0.326129
15498;0.589347;0.294278;0.332981
16269;0.607416;0.30459;0.346369
17078;0.625788;0.309499;0.354528
17927;0.641495;0.317865;0.361385
18818;0.661903;0.32509;0.367411
19753;0.675345;0.329113;0.378533
20734;0.69871;0.33647;0.388183
21764;0.508507;0.341359;0.392265
22845;0.523169;0.347434;0.401684
23980;0.541803;0.355884;0.409951
25171;0.549546;0.279573;0.320876
26421;0.57027;0.286858;0.33195
27733;0.592204;0.2927;0.34068
29110;0.60768;0.30182;0.347362
30555;0.624319;0.310841;0.358275
32072;0.644383;0.316751;0.364652
33664;0.659696;0.322435;0.374759
35335;0.676711;0.330271;0.381669
37089;0.696149;0.337243;0.392033
38930;0.715118;0.344045;0.398729
40863;0.731677;0.349425;0.407095
42892;0.524389;0.354026;0.415893
45022;0.540013;0.36195;0.424526
47258;0.554673;0.368595;0.431817
49605;0.572838;0.286126;0.333734
52069;0.590229;0.295625;0.337581
54656;0.609771;0.303123;0.347371
57372;0.622927;0.309349;0.355026
60223;0.639925;0.316527;0.366315
63216;0.659698;0.322786;0.371477
66358;0.677835;0.330726;0.377243
69657;0.692253;0.338756;0.388569
73120;0.714278;0.345275;0.39915
76756;0.73028;0.353041;0.407855
80573;0.749873;0.359341;0.416621
84580;0.775641;0.362406;0.423847
88787;0.548483;0.369512;0.433776
93204;0.561963;0.374871;0.446445
97841;0.598244;0.382441;0.454041
102709;0.624018;0.312499;0.36254
107820;0.645875;0.325166;0.371519
113186;0.673101;0.333801;0.384648
118820;0.698346;0.344499;0.398243
124735;0.717865;0.35395;0.416138
130945;0.75104;0.366578;0.424345
137465;0.775415;0.375765;0.434583
144311;0.803352;0.388493;0.447436
151499;0.823377;0.397303;0.462172
159046;0.850144;0.408537;0.474867
166970;0.887543;0.421576;0.496179
175290;0.66502;0.431583;0.511439
184026;0.686578;0.438878;0.526121
193198;0.710547;0.458815;0.553031
202828;0.737233;0.370084;0.44136
212939;0.762413;0.381779;0.455922
223555;0.781242;0.397164;0.467638
234701;0.808521;0.408422;0.482873
246404;0.832784;0.422493;0.502588
258692;0.866754;0.432958;0.518222
271594;0.908981;0.450168;0.529128
285141;0.923176;0.463071;0.546046
